category,difficulty,title,company_tags,accuracy,url
Arrays,Basic,Largest in Array,"Infosys, Morgan Stanley, Oracle, +1",67.48%,https://www.geeksforgeeks.org/problems/largest-element-in-array4009/1
Arrays,Basic,Min and Max in Array,NPCI,68.55%,https://www.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1
Arrays,Basic,Rotate Array by One,,69.60%,https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1
Arrays,Basic,Sum of Array,,80.38%,https://www.geeksforgeeks.org/problems/sum-all-array-elements/1
Arrays,Basic,Alternates in an Array,,52.74%,https://www.geeksforgeeks.org/problems/print-alternate-elements-of-an-array/1
Arrays,Basic,Array with All Palindromes,,58.62%,https://www.geeksforgeeks.org/problems/palindromic-array-1587115620/1
Arrays,Basic,Count Smaller in an Array,,54.54%,https://www.geeksforgeeks.org/problems/count-of-smaller-elements5947/1
Arrays,Basic,Replace all 0's with 5,Amazon,75.55%,https://www.geeksforgeeks.org/problems/replace-all-0s-with-5/1
Arrays,Basic,Count Odd and Even,,37.44%,https://www.geeksforgeeks.org/problems/count-odd-even/1
Arrays,Basic,Array Insert at Index,,44.81%,https://www.geeksforgeeks.org/problems/array-insert-at-index/1
Arrays,Basic,Who has the majority?,,44.36%,https://www.geeksforgeeks.org/problems/who-has-the-majority/1
Arrays,Basic,Find element at a given Index,,70.56%,https://www.geeksforgeeks.org/problems/c-array-print-an-element-set-25933/1
Arrays,Basic,Smaller and Larger in Sorted,,41.15%,https://www.geeksforgeeks.org/problems/smaller-and-larger4005/1
Arrays,Basic,Palindrome Array,,43.54%,https://www.geeksforgeeks.org/problems/perfect-arrays4645/1
Arrays,Basic,Swap kth elements,"Morgan Stanley, Rockstand",52.76%,https://www.geeksforgeeks.org/problems/swap-kth-elements5500/1
Arrays,Basic,Array End Insert,,87.65%,https://www.geeksforgeeks.org/problems/array-insert-at-end/1
Arrays,Basic,Find the fine,Microsoft,52.46%,https://www.geeksforgeeks.org/problems/find-the-fine4353/1
Arrays,Basic,Adjacent XOR Transformation,,79.28%,https://www.geeksforgeeks.org/problems/game-with-nos3123/1
Arrays,Basic,Multiply Left and Right Array Sums,,62.84%,https://www.geeksforgeeks.org/problems/multiply-left-and-right-array-sum1555/1
Arrays,Basic,Strongest Neighbour,,57.04%,https://www.geeksforgeeks.org/problems/strongest-neighbour/1
Arrays,Basic,Balanced Array,,68.17%,https://www.geeksforgeeks.org/problems/balanced-array07200720/1
Arrays,Basic,Max and Min Product from 2 Arrays,Adobe,58.96%,https://www.geeksforgeeks.org/problems/product-of-maximum-in-first-array-and-minimum-in-second3943/1
Arrays,Basic,Remove Duplicates from Unsorted,,42.10%,https://www.geeksforgeeks.org/problems/remove-duplicates-from-unsorted-array4141/1
Arrays,Basic,Fighting the Darkness,Snapdeal,65.11%,https://www.geeksforgeeks.org/problems/fighting-the-darkness3949/1
