category,difficulty,title,company_tags,accuracy,url
Binary Search,Basic,Binary Search,Paytm,48.03%,https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1
Binary Search,Basic,First 1 in a Sorted Binary Array,"Amazon, MakeMyTrip",49.11%,https://www.geeksforgeeks.org/problems/index-of-first-1-in-a-sorted-array-of-0s-and-1s4048/1
Binary Search,Easy,Square Root,"Accolite, Amazon, Flipkart, +2",54.03%,https://www.geeksforgeeks.org/problems/square-root/1
Binary Search,Easy,Pair With Difference,"Amazon, Visa",27.25%,https://www.geeksforgeeks.org/problems/find-pair-given-difference1559/1
Binary Search,Easy,Bitonic Point,"Amazon, Flipkart, Microsoft",58.67%,https://www.geeksforgeeks.org/problems/maximum-value-in-a-bitonic-array3001/1
Binary Search,Easy,Implement Lower Bound,,50.04%,https://www.geeksforgeeks.org/problems/implement-lower-bound/1
Binary Search,Easy,Closest in Sorted Array,,27.10%,https://www.geeksforgeeks.org/problems/find-the-closest-number5513/1
Binary Search,Easy,Implement Upper Bound,,52.54%,https://www.geeksforgeeks.org/problems/implement-upper-bound/1
Binary Search,Easy,Ceil in a Sorted Array,Amazon,50.13%,https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/1
Binary Search,Easy,Search in a row-wise sorted matrix,,51.77%,https://www.geeksforgeeks.org/problems/search-in-a-row-wise-sorted-matrix/1
Binary Search,Easy,Check k Sorted,,39.85%,https://www.geeksforgeeks.org/problems/k-sorted-array1610/1
Binary Search,Easy,Magical Number,,40.35%,https://www.geeksforgeeks.org/problems/magical-number-1587115620/1
Binary Search,Easy,Missing Number in Sorted Array of Natural Numbers,,60.13%,https://www.geeksforgeeks.org/problems/missing-number-in-sorted-array-of-natural-numbers/1
Binary Search,Easy,Balanced Floor and Ceil Distance,,24.02%,https://www.geeksforgeeks.org/problems/balance-with-respect-to-an-array5443/1
Binary Search,Easy,Equal Point in Sorted Array,,20.66%,https://www.geeksforgeeks.org/problems/equal-point-in-sorted-array0040/1
Binary Search,Easy,Number and the Digit Sum,,36.58%,https://www.geeksforgeeks.org/problems/number-and-the-digit-sum4021/1
Binary Search,Easy,Find the minimum time,Oracle,19.53%,https://www.geeksforgeeks.org/problems/find-the-minimum-time0253/1
Binary Search,Easy,Empty The Tank,,37.04%,https://www.geeksforgeeks.org/problems/empty-the-tank3831/1
Binary Search,Easy,Minimum in Decreasing Increasing Array,,67.81%,https://www.geeksforgeeks.org/problems/ternary-search/1
