category,difficulty,title,company_tags,accuracy,url
Hashing,Basic,Array Subset,"Accolite, Qualcomm, GE",44.05%,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1
Hashing,Basic,One Odd Occuring,"Amazon, Snapdeal",50.53%,https://www.geeksforgeeks.org/problems/find-the-odd-occurence4820/1
Hashing,Basic,Uncommon characters,Amazon,38.13%,https://www.geeksforgeeks.org/problems/uncommon-characters4932/1
Hashing,Basic,Repeated Character,Goldman Sachs,43.15%,https://www.geeksforgeeks.org/problems/repeated-character2058/1
Hashing,Basic,Anagram Palindrome,"Amazon, Snapdeal, D-E-Shaw",44.28%,https://www.geeksforgeeks.org/problems/anagram-palindrome4720/1
Hashing,Basic,Count Group Occurrences,"Zoho, Amazon",27.88%,https://www.geeksforgeeks.org/problems/count-the-characters1821/1
Hashing,Basic,Find unique element,,43.89%,https://www.geeksforgeeks.org/problems/find-unique-element2632/1
Hashing,Basic,Max Distance Between Two in Array,,44.82%,https://www.geeksforgeeks.org/problems/count-number-of-elements-between-two-given-elements-in-array4044/1
Hashing,Basic,Sort String in Descending Order,,47.71%,https://www.geeksforgeeks.org/problems/sort-the-string-in-descending-order3542/1
Hashing,Basic,Highest and Lowest Frequencies,,49.19%,https://www.geeksforgeeks.org/problems/difference-between-highest-and-lowest-occurrence4613/1
Hashing,Basic,Check Arithmetic Progression,,50.24%,https://www.geeksforgeeks.org/problems/check-arithmetic-progression1842/1
Hashing,Basic,Distinct-Digit Numbers in Range,Amazon,53.34%,https://www.geeksforgeeks.org/problems/unique-numbers3019/1
Hashing,Basic,Smallest Repeating K Times,,50.00%,https://www.geeksforgeeks.org/problems/smallest-number-repeating-k-times3239/1
Hashing,Basic,K-th Distinct in Order of Appearance,,41.93%,https://www.geeksforgeeks.org/problems/k-th-distinct-element4510/1
Hashing,Basic,Distinct in a Stream with Insertions and Deletions,,30.79%,https://www.geeksforgeeks.org/problems/distinct-elements-in-a-stream1557/1
Hashing,Easy,Two Sum - Pair with Given Sum,"Zoho, Flipkart, Morgan Stanley, +10",30.61%,https://www.geeksforgeeks.org/problems/key-pair5616/1
Hashing,Easy,Union of Arrays with Duplicates,"Zoho, Rockstand",42.22%,https://www.geeksforgeeks.org/problems/union-of-two-arrays3538/1
Hashing,Easy,Check Equal Arrays,Goldman Sachs,42.18%,https://www.geeksforgeeks.org/problems/check-if-two-arrays-are-equal-or-not3847/1
Hashing,Easy,Frequencies in a Limited Array,"Paytm, VMWare, Zoho, +2",27.64%,https://www.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1
Hashing,Easy,Non Repeating Character,"Flipkart, Amazon, Microsoft, +10",40.43%,https://www.geeksforgeeks.org/problems/non-repeating-character-1587115620/1
Hashing,Easy,First Repeating Element,"Amazon, Oracle",32.57%,https://www.geeksforgeeks.org/problems/first-repeating-element4018/1
Hashing,Easy,Isomorphic Strings,Google,34.21%,https://www.geeksforgeeks.org/problems/isomorphic-strings-1587115620/1
Hashing,Easy,At Least K Occurrences,,37.11%,https://www.geeksforgeeks.org/problems/first-element-to-occur-k-times5150/1
Hashing,Easy,Find all pairs with a given sum,"Amazon, MakeMyTrip, Facebook, +1",23.94%,https://www.geeksforgeeks.org/problems/find-all-pairs-whose-sum-is-x5808/1
Hashing,Easy,Non-Repeating Element,"Snapdeal, Goldman Sachs, Adobe",39.31%,https://www.geeksforgeeks.org/problems/non-repeating-element3958/1
Hashing,Easy,Minimum Indexed Character,Ola Cabs,54.06%,https://www.geeksforgeeks.org/problems/minimum-indexed-character-1587115620/1
Hashing,Easy,Missing in Second Array,"Zoho, Accolite, Microsoft, +1",35.22%,https://www.geeksforgeeks.org/problems/in-first-but-second5423/1
Hashing,Easy,Election Winner,"Adobe, Atlassian",53.75%,https://www.geeksforgeeks.org/problems/winner-of-an-election-where-votes-are-represented-as-candidate-names-1587115621/1
Hashing,Easy,First Repeated Character,"Amazon, Adobe",41.97%,https://www.geeksforgeeks.org/problems/find-first-repeated-character4108/1
Hashing,Easy,Pairs with Positive Negative values,Amazon,20.79%,https://www.geeksforgeeks.org/problems/pairs-with-positive-negative-values3719/1
Hashing,Easy,Remove Duplicates from an array,Amazon,35.86%,https://www.geeksforgeeks.org/problems/remove-duplicates-in-small-prime-array/1
Hashing,Easy,Second Most Frequent Word,"Amazon, Goldman Sachs",45.95%,https://www.geeksforgeeks.org/problems/second-most-repeated-string-in-a-sequence0534/1
Hashing,Easy,Max distance between same elements,,46.67%,https://www.geeksforgeeks.org/problems/max-distance-between-same-elements/1
Hashing,Easy,Check for Isogram String,,63.25%,https://www.geeksforgeeks.org/problems/check-if-a-string-is-isogram-or-not-1587115620/1
Hashing,Easy,K-Pangrams,"Zoho, Snapdeal",20.91%,https://www.geeksforgeeks.org/problems/k-pangrams0909/1
