category,difficulty,title,company_tags,accuracy,url
Stack,Basic,Array to Stack,,72.42%,https://www.geeksforgeeks.org/problems/stack-designer/1
Stack,Basic,Pairwise Consecutive Elements,,44.73%,https://www.geeksforgeeks.org/problems/pairwise-consecutive-elements/1
Stack,Basic,Reverse Array Using Stack,,84.91%,https://www.geeksforgeeks.org/problems/reverse-array-using-stack--143151/1
Stack,Easy,Parenthesis Checker,"Adobe, Amazon, Flipkart, +7",28.56%,https://www.geeksforgeeks.org/problems/parenthesis-checker2744/1
Stack,Easy,Stack using Linked List,"Codenation, FactSet, Microsoft, +2",53.98%,https://www.geeksforgeeks.org/problems/implement-stack-using-linked-list/1
Stack,Easy,Delete Mid of a Stack,Amazon,53.71%,https://www.geeksforgeeks.org/problems/delete-middle-element-of-a-stack/1
Stack,Easy,Reverse Using Stack,,76.17%,https://www.geeksforgeeks.org/problems/reverse-a-string-using-stack/1
Stack,Easy,Make the array beautiful,,49.96%,https://www.geeksforgeeks.org/problems/make-the-array-beautiful--170647/1
Stack,Easy,Get min at pop,,49.04%,https://www.geeksforgeeks.org/problems/get-min-at-pop/1
Stack,Easy,Print Bracket Number,Flipkart,51.19%,https://www.geeksforgeeks.org/problems/print-bracket-number4058/1
Stack,Easy,Insert at Bottom of Stack,,71.19%,https://www.geeksforgeeks.org/problems/insert-an-element-at-the-bottom-of-a-stack/1
Stack,Easy,Reversing the equation,,58.61%,https://www.geeksforgeeks.org/problems/reversing-the-equation2205/1
Stack,Easy,Stack Operations,,66.80%,https://www.geeksforgeeks.org/problems/stacks-operations/1
Stack,Easy,Remove Two Consecutive Same,,42.82%,https://www.geeksforgeeks.org/problems/string-manipulation3706/1
Stack,Easy,Compress String,,38.92%,https://www.geeksforgeeks.org/problems/easy-string2212/1
Stack,Easy,Delete Smaller Than Next,,44.05%,https://www.geeksforgeeks.org/problems/delete-array-elements-which-are-smaller-than-next-or-become-smaller3115/1
Stack,Easy,Outermost Parentheses of Primitives,,58.70%,https://www.geeksforgeeks.org/problems/outermost-parentheses/1
Stack,Easy,Maximum Nesting Depth of the Parentheses,,78.24%,https://www.geeksforgeeks.org/problems/maximum-nesting-depth-of-the-parentheses/1
Stack,Easy,Middle of Stack,,61.97%,https://www.geeksforgeeks.org/problems/middle-of-stack/1
Stack,Medium,Next Greater Element,"Adobe, Amazon, Flipkart, +2",32.95%,https://www.geeksforgeeks.org/problems/next-larger-element-1587115620/1
Stack,Medium,The Celebrity Problem,"Amazon, Fab.com, Flipkart, +6",38.33%,https://www.geeksforgeeks.org/problems/the-celebrity-problem/1
Stack,Medium,Get Min from Stack,"Adobe, Amazon, D-E-Shaw, +16",22.59%,https://www.geeksforgeeks.org/problems/get-minimum-element-from-stack/1
Stack,Medium,Implement stack using array,"FactSet, Goldman Sachs, Kritikal Solutions, +2",54.76%,https://www.geeksforgeeks.org/problems/implement-stack-using-array/1
Stack,Medium,Stock Span Problem,"Accolite, Adobe, Amazon, +4",43.56%,https://www.geeksforgeeks.org/problems/stock-span-problem-1587115621/1
Stack,Medium,Next Smaller Element,"Amazon, Flipkart",36.26%,https://www.geeksforgeeks.org/problems/immediate-smaller-element1142/1
Stack,Medium,Sort a stack,"Amazon, Goldman Sachs, IBM, +4",69.19%,https://www.geeksforgeeks.org/problems/sort-a-stack/1
Stack,Medium,Infix to Postfix,"Microsoft, Paytm, VMWare",52.94%,https://www.geeksforgeeks.org/problems/infix-to-postfix-1587115620/1
Stack,Medium,Two Stacks in an Array,"24*7 Innovation Labs, Microsoft, Samsung, +1",56.49%,https://www.geeksforgeeks.org/problems/implement-two-stacks-in-an-array/1
Stack,Medium,Postfix Evaluation,,63.04%,https://www.geeksforgeeks.org/problems/evaluation-of-postfix-expression1735/1
