category,difficulty,title,company_tags,accuracy,url
Strings,Basic,Reverse a String,,69.49%,https://www.geeksforgeeks.org/problems/reverse-a-string/1
Strings,Basic,First Occurence,"Amazon, Facebook, Microsoft, +1",46.90%,https://www.geeksforgeeks.org/problems/implement-strstr/1
Strings,Basic,Check for Binary String,,30.94%,https://www.geeksforgeeks.org/problems/check-for-binary/1
Strings,Basic,Convert String to Lower Case,,75.27%,https://www.geeksforgeeks.org/problems/convert-string-to-lowercase/1
Strings,Basic,Binary Substrings with Corners as 1,"Amazon, Flipkart",53.99%,https://www.geeksforgeeks.org/problems/binary-string-1587115620/1
Strings,Basic,Remove Spaces,SAP Labs,49.21%,https://www.geeksforgeeks.org/problems/remove-spaces0128/1
Strings,Basic,Remove Common and Concat,Microsoft,30.78%,https://www.geeksforgeeks.org/problems/remove-common-characters-and-concatenate-1587115621/1
Strings,Basic,Longest Word,,66.29%,https://www.geeksforgeeks.org/problems/display-longest-name0853/1
Strings,Basic,Make Anagram with Removals,Amazon,38.61%,https://www.geeksforgeeks.org/problems/anagram-of-string/1
Strings,Basic,Maximum Number in a String,"Amazon, TCS",38.41%,https://www.geeksforgeeks.org/problems/extract-maximum2943/1
Strings,Basic,Remove character,"Zoho, Amazon",59.60%,https://www.geeksforgeeks.org/problems/remove-character3815/1
Strings,Basic,Remove Vowels,GE,41.92%,https://www.geeksforgeeks.org/problems/remove-vowels-from-string1446/1
Strings,Basic,Reverse Vowels,"Zoho, Flipkart",40.16%,https://www.geeksforgeeks.org/problems/reversing-the-vowels5304/1
Strings,Basic,Capitalize First Letter of Words,Nagarro,38.13%,https://www.geeksforgeeks.org/problems/upper-case-conversion5419/1
Strings,Basic,First Letter of Every Word,Amazon,71.60%,https://www.geeksforgeeks.org/problems/print-first-letter-of-every-word-in-the-string3632/1
Strings,Basic,Alternate Merge Two Strings,Goldman Sachs,47.43%,https://www.geeksforgeeks.org/problems/merge-two-strings2736/1
Strings,Basic,Delete alternate characters,,68.99%,https://www.geeksforgeeks.org/problems/java-delete-alternate-characters4036/1
Strings,Basic,Length of String,,82.01%,https://www.geeksforgeeks.org/problems/length-of-string/1
Strings,Basic,Check String,,42.82%,https://www.geeksforgeeks.org/problems/check-string1818/1
Strings,Basic,Keypad Typing,Amazon,61.49%,https://www.geeksforgeeks.org/problems/keypad-typing0119/1
Strings,Basic,Concatenate and Reverse,,60.84%,https://www.geeksforgeeks.org/problems/java-strings-set-15112/1
Strings,Basic,Lower case to upper case,,74.85%,https://www.geeksforgeeks.org/problems/lower-case-to-upper-case3410/1
Strings,Basic,Change the Case based on First Character,Oracle,57.73%,https://www.geeksforgeeks.org/problems/change-the-string3541/1
Strings,Basic,C++ Strings,,59.12%,https://www.geeksforgeeks.org/problems/c-strings4609/1
