Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Climbing Stairs,85.3,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Smallest Divisible Digit Product II,83.2,0.004524571383424192,https://leetcode.com/problems/smallest-divisible-digit-product-ii,"Math, String, Backtracking, Greedy, Number Theory"
EASY,Best Time to Buy and Sell Stock,80.9,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Smallest Divisible Digit Product I,80.9,0.007305431367268157,https://leetcode.com/problems/smallest-divisible-digit-product-i,"Math, Enumeration"
MEDIUM,Longest Substring Without Repeating Characters,78.4,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Reverse Integer,78.4,0.0032365985796483756,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Maximum Subarray,78.4,0.005373528008445135,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Delete and Earn,78.4,0.005747823715420847,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
EASY,Palindrome Number,75.6,0.006087440701351663,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate Array,75.6,0.004532175079320106,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Happy Number,75.6,0.00601149685323521,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
EASY,Majority Element,75.6,0.006648691015557973,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
HARD,Shortest Palindrome,75.6,0.004295033243701194,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function, Manacher, Z Algorithm, Knuth–Morris–Pratt Algorithm"
MEDIUM,Letter Combinations of a Phone Number,72.3,0.006665954583234598,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Longest Palindromic Substring,68.6,0.0038470812842634973,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Koko Eating Bananas,68.6,0.005039557778650947,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Water Bottles,68.6,0.007256274715843006,https://leetcode.com/problems/water-bottles,"Math, Simulation"
EASY,Longest Common Prefix,64.2,0.00481870369839444,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Remove Duplicates from Sorted Array,64.2,0.006356270294689139,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Merge Sorted Array,64.2,0.005552771146516082,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,64.2,0.006426520020031069,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Max Consecutive Ones,64.2,0.006591758755977218,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Intersection of Two Arrays,64.2,0.007820111647638732,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Roman to Integer,58.9,0.0067049027990411765,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,58.9,0.004736926664645988,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Largest Number,58.9,0.004358468300955362,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Contains Duplicate,58.9,0.006462890773565,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Perfect Squares,58.9,0.005680436902672128,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Count Primes,58.9,0.003637127513843213,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
EASY,Fibonacci Number,58.9,0.007452180064209408,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Middle of the Linked List,58.9,0.008227599656640099,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Nth Digit,58.9,0.003877451339536474,https://leetcode.com/problems/nth-digit,"Math, Binary Search"
MEDIUM,Maximum Width Ramp,58.9,0.0055931043668338955,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
MEDIUM,Number of Islands,58.9,0.006495993404723111,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Remove Nth Node From End of List,58.9,0.005239101584159045,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Count Partitions with Even Sum Difference,58.9,0.008511766452531213,https://leetcode.com/problems/count-partitions-with-even-sum-difference,"Array, Math, Prefix Sum"
MEDIUM,Subarray Sum Equals K,58.9,0.004797978674749575,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,3Sum,52.0,0.003969278128577991,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,52.0,0.0060648042388392965,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Reverse Words in a String,52.0,0.005752996396229188,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Valid Anagram,52.0,0.006853215114815539,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Integer Break,52.0,0.006263081521975868,https://leetcode.com/problems/integer-break,"Math, Dynamic Programming"
EASY,Pascal's Triangle,52.0,0.007929400828192344,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Plus One,52.0,0.0050450167133903445,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Rotate Image,52.0,0.008056978348914971,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Assign Cookies,52.0,0.005541664234589968,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting, Quicksort"
MEDIUM,Coin Change,52.0,0.004897299461902748,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Find the Winner of the Circular Game,52.0,0.008232440871256711,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
