Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Climbing Stairs,86.0,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Best Time to Buy and Sell Stock,84.0,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Smallest Divisible Digit Product II,81.9,0.004524571383424192,https://leetcode.com/problems/smallest-divisible-digit-product-ii,"Math, String, Backtracking, Greedy, Number Theory"
EASY,Palindrome Number,79.6,0.006087440701351663,https://leetcode.com/problems/palindrome-number,Math
EASY,Smallest Divisible Digit Product I,79.6,0.007305431367268157,https://leetcode.com/problems/smallest-divisible-digit-product-i,"Math, Enumeration"
MEDIUM,Minimum Number of Operations to Have Distinct Elements,79.6,0.004219948481054556,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,77.0,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Reverse Integer,77.0,0.0032365985796483756,https://leetcode.com/problems/reverse-integer,Math
EASY,Sum of Values at Indices With K Set Bits,77.0,0.00857994854274748,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation"
MEDIUM,Maximum Subarray,77.0,0.005373528008445135,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Maximum Area of Longest Diagonal Rectangle,77.0,0.004595596907670271,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
EASY,Permutation Difference between Two Strings,77.0,0.008802038445685166,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String"
MEDIUM,Delete and Earn,77.0,0.005747823715420847,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
EASY,Majority Element,77.0,0.006648691015557973,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Subarray Sum Equals K,77.0,0.004797978674749575,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Count Tested Devices After Test Operations,74.1,0.007847765137218958,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Array, Simulation, Counting"
EASY,Find Subsequence of Length K With the Largest Sum,74.1,0.005728552241484957,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Rotate Array,74.1,0.004532175079320106,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Happy Number,74.1,0.00601149685323521,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
EASY,Ant on the Boundary,74.1,0.007432720304374925,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
EASY,Minimum Right Shifts to Sort the Array,74.1,0.005767105434640949,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,Array
MEDIUM,Koko Eating Bananas,74.1,0.005039557778650947,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Shortest Palindrome,74.1,0.004295033243701194,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function, Manacher, Z Algorithm, Knuth–Morris–Pratt Algorithm"
MEDIUM,Letter Combinations of a Phone Number,70.8,0.006665954583234598,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Move Zeroes,70.8,0.006426520020031069,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Palindromic Substring,67.1,0.0038470812842634973,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Merge Sorted Array,67.1,0.005552771146516082,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Water Bottles,67.1,0.007256274715843006,https://leetcode.com/problems/water-bottles,"Math, Simulation"
