Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786834626576906,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,93.7,0.007312852709282173,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Count Subarrays With Fixed Bounds,93.7,0.006917435037720032,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
HARD,Binary Tree Maximum Path Sum,85.6,0.004266447538385566,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Flatten Nested List Iterator,85.6,0.006582841518480364,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Game of Life,74.3,0.007294271449189198,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Gas Station,74.3,0.004855720508729963,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Minimum Cost For Tickets,74.3,0.006747684413940163,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Largest Number,74.3,0.004358468300955362,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Best Time to Buy and Sell Stock,74.3,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Maximize Distance to Closest Person,74.3,0.004997639294413225,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Flatten a Multilevel Doubly Linked List,74.3,0.006329529186937766,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
