Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Minimum Absolute Difference,100.0,0.007518446875455541,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Best Time to Buy and Sell Stock,98.5,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Eliminate Maximum Number of Monsters,95.2,0.0051243527095033185,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
MEDIUM,Daily Temperatures,89.1,0.006905642405710863,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Capacity To Ship Packages Within D Days,84.0,0.007450990532981995,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Number of Atoms,84.0,0.006524168993642231,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,Unique Paths II,77.3,0.004494286854910931,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,3Sum,73.1,0.003969278128577991,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Decode String,68.0,0.006308994697353077,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Backspace String Compare,68.0,0.0050172765485532005,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Sort Array by Increasing Frequency,61.4,0.008100714204637767,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Find Pivot Index,61.4,0.0063598101123025115,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Climbing Stairs,61.4,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Sliding Window Maximum,61.4,0.004910871637192918,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Coin Change,61.4,0.004897299461902748,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Remove All Adjacent Duplicates in String II,61.4,0.006175687044307348,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,52.1,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Lexicographically Smallest String After Substring Operation,52.1,0.003538936665558037,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,52.1,0.007208293278599081,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Insert Delete GetRandom O(1),52.1,0.0055486583995054475,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Squares of a Sorted Array,52.1,0.007406501475104354,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
