Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Minimum Absolute Difference,100.0,0.007518446875455541,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
HARD,Number of Atoms,100.0,0.006524168993642231,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,Eliminate Maximum Number of Monsters,97.3,0.0051243527095033185,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
EASY,Best Time to Buy and Sell Stock,95.8,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Capacity To Ship Packages Within D Days,90.6,0.007450990532981995,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Daily Temperatures,88.6,0.006905642405710863,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Find Diameter Endpoints of a Tree,83.9,0.006567164179104478,https://leetcode.com/problems/find-diameter-endpoints-of-a-tree,"Tree, Breadth-First Search, Graph Theory"
EASY,Find the Child Who Has the Ball After K Seconds,81.2,0.006226530776343827,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
MEDIUM,Remove All Adjacent Duplicates in String II,81.2,0.006175687044307348,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Unique Paths II,74.6,0.004494286854910931,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,3Sum,70.3,0.003969278128577991,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Decode String,70.3,0.006308994697353077,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,65.2,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Backspace String Compare,65.2,0.0050172765485532005,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Find Pivot Index,65.2,0.0063598101123025115,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Rank Transform of an Array,65.2,0.007397527786766802,https://leetcode.com/problems/rank-transform-of-an-array,"Array, Hash Table, Sorting"
MEDIUM,Sort Colors,65.2,0.007016884072715112,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,House Robber,58.5,0.0053502628777586615,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Sort Array by Increasing Frequency,58.5,0.008100714204637767,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Climbing Stairs,58.5,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Sliding Window Maximum,58.5,0.004910871637192918,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Coin Change,58.5,0.004897299461902748,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Subarray Sum Equals K,58.5,0.004797978674749575,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Koko Eating Bananas,58.5,0.005039557778650947,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Subsets,58.5,0.008271543733881505,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Valid Parentheses,49.2,0.004472528120893722,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Lexicographically Smallest String After Substring Operation,49.2,0.003538936665558037,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,49.2,0.007208293278599081,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Insert Delete GetRandom O(1),49.2,0.0055486583995054475,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Integer to Roman,49.2,0.007149571266632225,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Next Greater Element I,49.2,0.007668483172754845,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
