Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Design Excel Sum Formula,100.0,0.003950079751692029,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
HARD,Maximum Profit in Job Scheduling,96.9,0.0054812314023464995,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Shortest Uncommon Substring in an Array,93.3,0.00508818239457578,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
HARD,Maximum Candies You Can Get from Boxes,83.9,0.006710449039520373,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Shopping Offers,77.2,0.005270919274645246,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
MEDIUM,Accounts Merge,77.2,0.006188973838707603,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
HARD,Text Justification,77.2,0.005189716128123602,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Smallest Sufficient Team,77.2,0.005578790033521499,https://leetcode.com/problems/smallest-sufficient-team,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
MEDIUM,Smallest Common Region,67.9,0.0068779005991055605,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Detonate the Maximum Bombs,67.9,0.005037893822207442,https://leetcode.com/problems/detonate-the-maximum-bombs,"Array, Math, Depth-First Search, Breadth-First Search, Graph Theory, Geometry"
