Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005189716128123602,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Maximum Profit in Job Scheduling,94.0,0.0054812314023464995,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,81.0,0.005052829206122981,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Simple Bank System,79.3,0.006956969805881856,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Smallest Common Region,72.9,0.0068779005991055605,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search, Binary Lifting, Lowest Common Ancestor"
HARD,Minimum Window Substring,70.2,0.004825467559165663,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Palindrome Pairs,70.2,0.00374956579248749,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
HARD,Maximum Candies You Can Get from Boxes,70.2,0.006710449039520373,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
HARD,Design Excel Sum Formula,70.2,0.003950079751692029,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,Combination Sum,67.2,0.0077005768815870505,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Pour Water,67.2,0.004911571808564641,https://leetcode.com/problems/pour-water,"Array, Simulation"
MEDIUM,Subarray Product Less Than K,63.5,0.0054858355024627456,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Shopping Offers,63.5,0.005270919274645246,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
HARD,Sliding Puzzle,59.1,0.007455241808372254,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix, Heuristic Search, Bidirectional Search, A* Search"
HARD,Alien Dictionary,53.3,0.0037286290888170304,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Shortest Path to Get All Keys,53.3,0.005493630573248408,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
MEDIUM,Shortest Uncommon Substring in an Array,53.3,0.00508818239457578,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Design Tic-Tac-Toe,53.3,0.0058756827868897575,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Intersection of Two Linked Lists,53.3,0.006446665709366838,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
HARD,Trapping Rain Water,45.3,0.006802783224080567,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Contains Duplicate II,45.3,0.005178439854329056,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
HARD,All O`one Data Structure,45.3,0.004446796196430027,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Shortest Path in Binary Matrix,45.3,0.005205282983092235,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
HARD,Making A Large Island,45.3,0.005708557348244039,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Can Place Flowers,45.3,0.0029280014546573512,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Nth Digit,45.3,0.003877451339536474,https://leetcode.com/problems/nth-digit,"Math, Binary Search"
HARD,Minimum Window Subsequence,45.3,0.004384920373565868,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
MEDIUM,Accounts Merge,45.3,0.006188973838707603,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
