Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005189716128123602,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Maximum Profit in Job Scheduling,93.0,0.0054812314023464995,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,85.6,0.005052829206122981,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Smallest Common Region,82.4,0.0068779005991055605,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search, Binary Lifting, Lowest Common Ancestor"
HARD,Maximum Candies You Can Get from Boxes,82.4,0.006710449039520373,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
HARD,Palindrome Pairs,78.6,0.00374956579248749,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
HARD,Design Excel Sum Formula,78.6,0.003950079751692029,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,Pour Water,77.1,0.004911571808564641,https://leetcode.com/problems/pour-water,"Array, Simulation"
HARD,Sliding Puzzle,75.6,0.007455241808372254,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix, Heuristic Search, Bidirectional Search, A* Search"
EASY,Intersection of Two Linked Lists,73.9,0.006446665709366838,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Simple Bank System,72.1,0.006956969805881856,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Alien Dictionary,72.1,0.0037286290888170304,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Trapping Rain Water,70.1,0.006802783224080567,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Contains Duplicate II,70.1,0.005178439854329056,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Add Two Numbers,67.9,0.0049132544618928084,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Word Search II,67.9,0.0038787235391833813,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Shortest Uncommon Substring in an Array,67.9,0.00508818239457578,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,IP to CIDR,67.9,0.005382093086802077,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
HARD,Employee Free Time,67.9,0.007297710892093974,https://leetcode.com/problems/employee-free-time,"Array, Sweep Line, Sorting, Heap (Priority Queue)"
EASY,Two Sum,65.5,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Regular Expression Matching,65.5,0.003157634297802194,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Valid Parentheses,65.5,0.004472528120893722,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Merge k Sorted Lists,65.5,0.006029341144142439,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Minimize Rounding Error to Meet Target,65.5,0.004582745651151857,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
MEDIUM,Convert to Base -2,65.5,0.006199977969062269,https://leetcode.com/problems/convert-to-base-2,Math
MEDIUM,Design File System,65.5,0.006517900483302497,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
EASY,Convert Sorted Array to Binary Search Tree,65.5,0.007598446523845733,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
EASY,Single Number,65.5,0.007815755890287197,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Reverse Bits,65.5,0.0069125866418237635,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,House Robber,65.5,0.0053502628777586615,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Happy Number,65.5,0.00601149685323521,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
EASY,Contains Duplicate,65.5,0.006462890773565,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
HARD,Contains Duplicate III,65.5,0.0025087453571211106,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,Maximal Square,65.5,0.005074633316168979,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Basic Calculator II,65.5,0.004708523557903369,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Number of Ways to Build House of Cards,65.5,0.006283172026225413,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
MEDIUM,Mini Parser,65.5,0.004332399522924583,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
HARD,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,65.5,0.007299639502051111,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
EASY,Add Strings,65.5,0.005221925350779546,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Robot Bounded In Circle,65.5,0.0056610161200576405,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Minimum Number of Vertices to Reach All Nodes,65.5,0.008174395512975337,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,"Graph Theory, Directed Acyclic Graph"
MEDIUM,Strings Differ by One Character,65.5,0.00396344307948939,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
MEDIUM,Pyramid Transition Matrix,65.5,0.00606007862602126,https://leetcode.com/problems/pyramid-transition-matrix,"Hash Table, String, Backtracking, Bit Manipulation"
MEDIUM,Cheapest Flights Within K Stops,65.5,0.0042415075545453925,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Shopping Offers,65.5,0.005270919274645246,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
HARD,Minimum Window Substring,62.7,0.004825467559165663,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Combination Sum,59.5,0.0077005768815870505,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Subarray Product Less Than K,55.7,0.0054858355024627456,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Accounts Merge,55.7,0.006188973838707603,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Design Tic-Tac-Toe,45.2,0.0058756827868897575,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
HARD,Shortest Path to Get All Keys,45.2,0.005493630573248408,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Smallest Sufficient Team,45.2,0.005578790033521499,https://leetcode.com/problems/smallest-sufficient-team,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
MEDIUM,Shortest Path in Binary Matrix,36.9,0.005205282983092235,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
HARD,Making A Large Island,36.9,0.005708557348244039,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,All O`one Data Structure,36.9,0.004446796196430027,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Can Place Flowers,36.9,0.0029280014546573512,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Nth Digit,36.9,0.003877451339536474,https://leetcode.com/problems/nth-digit,"Math, Binary Search"
