Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,N-Repeated Element in Size 2N Array,100.0,0.007998950092984666,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,"Array, Hash Table, Pigeonhole Principle"
EASY,Best Time to Buy and Sell Stock,94.0,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Contiguous Array,85.9,0.0052082291576860075,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
EASY,Add Two Integers,73.7,0.008809079255378442,https://leetcode.com/problems/add-two-integers,Math
EASY,Two Sum,64.0,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,First Unique Character in a String,64.0,0.006611153379300317,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Unique Paths,64.0,0.006717300556067408,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Spiral Matrix,64.0,0.005762649340140076,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Substring Without Repeating Characters,64.0,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Palindromic Substrings,64.0,0.007312510017465137,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find Peak Element,64.0,0.004714029442407914,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Course Schedule,64.0,0.005203993313307946,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Minimum Absolute Difference,64.0,0.007518446875455541,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
