Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Can Make Palindrome from Substring,100.0,0.004212371455282019,https://leetcode.com/problems/can-make-palindrome-from-substring,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
MEDIUM,Map Sum Pairs,97.0,0.005734100495031959,https://leetcode.com/problems/map-sum-pairs,"Hash Table, String, Design, Trie"
MEDIUM,Delete and Earn,97.0,0.005747823715420847,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Cherry Pickup,97.0,0.004027049213150202,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Network Delay Time,97.0,0.006135669934181815,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path, Dijkstra's Algorithm"
HARD,Create Sorted Array through Instructions,97.0,0.0042289478590516435,https://leetcode.com/problems/create-sorted-array-through-instructions,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Minimum Initial Energy to Finish Tasks,97.0,0.007651235631973123,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,"Array, Greedy, Sorting"
HARD,Constrained Subsequence Sum,97.0,0.005646144036274753,https://leetcode.com/problems/constrained-subsequence-sum,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Dice Roll Simulation,97.0,0.005121795871678885,https://leetcode.com/problems/dice-roll-simulation,"Array, Dynamic Programming"
HARD,Number of Different Subsequences GCDs,97.0,0.004682897021933492,https://leetcode.com/problems/number-of-different-subsequences-gcds,"Array, Math, Counting, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Number of Operations to Make Network Connected,97.0,0.006714832158007217,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Minimum Number of Taps to Open to Water a Garden,97.0,0.005106344306636353,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Reduce Array Size to The Half,97.0,0.006942578347082506,https://leetcode.com/problems/reduce-array-size-to-the-half,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
EASY,Increasing Decreasing String,97.0,0.007732677450507002,https://leetcode.com/problems/increasing-decreasing-string,"Hash Table, String, Counting"
MEDIUM,Maximum Star Sum of a Graph,85.2,0.004269174735376404,https://leetcode.com/problems/maximum-star-sum-of-a-graph,"Array, Greedy, Graph Theory, Sorting, Heap (Priority Queue)"
HARD,Critical Connections in a Network,62.1,0.006037170676740863,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph Theory, Biconnected Component, Bridge (Graph)"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,62.1,0.004117452908032157,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
