Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximum Coins From K Consecutive Bags,88.4,0.002659080459770115,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,84.9,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,80.7,0.006802783224080567,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,78.4,0.007312852709282173,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,75.8,0.0060648042388392965,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Merge Intervals,75.8,0.005257590403796301,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Rotting Oranges,75.8,0.005927583344860977,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Elements,72.9,0.006713859563139234,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Best Time to Buy and Sell Stock,69.6,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,69.6,0.004786834626576906,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Koko Eating Bananas,69.6,0.005039557778650947,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Course Schedule,69.6,0.005203993313307946,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Copy List with Random Pointer,69.6,0.00635090239140889,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Majority Element,69.6,0.006648691015557973,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,3Sum,69.6,0.003969278128577991,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,69.6,0.004736926664645988,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Maximum Subarray,69.6,0.005373528008445135,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Minimum Operations to Make Array Non Decreasing,69.6,0.005587410611428696,https://leetcode.com/problems/minimum-operations-to-make-array-non-decreasing,"Array, Greedy"
MEDIUM,Number of Islands,65.8,0.006495993404723111,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Remove Duplicates from Sorted Array,65.8,0.006356270294689139,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Letter Combinations of a Phone Number,65.8,0.006665954583234598,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Two Sum II - Input Array Is Sorted,65.8,0.0065685748816255475,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Single Element in a Sorted Array,65.8,0.005939518546920414,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Longest Consecutive Sequence,65.8,0.004720825212594653,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Longest Common Prefix,65.8,0.00481870369839444,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Add Two Numbers,61.3,0.0049132544618928084,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,61.3,0.0038470812842634973,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Fruit Into Baskets,61.3,0.005215318808571866,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Subsets,61.3,0.008271543733881505,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Product of Array Except Self,61.3,0.006916445627132168,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Valid Parentheses,61.3,0.004472528120893722,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Maximum Product of Three Numbers,61.3,0.004822190115583897,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Task Scheduler,61.3,0.006363509242599362,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Palindrome Number,55.9,0.006087440701351663,https://leetcode.com/problems/palindrome-number,Math
HARD,Minimum Window Substring,55.9,0.004825467559165663,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Ladder,55.9,0.0046325920843474895,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
HARD,Sliding Window Maximum,55.9,0.004910871637192918,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Add Binary,55.9,0.005848441314531582,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Merge Sorted Array,55.9,0.005552771146516082,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Reorganize String,55.9,0.005744887310946427,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Find the Index of the First Occurrence in a String,55.9,0.004716717869479574,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
EASY,Maximum Average Subarray I,55.9,0.004890206572118782,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
HARD,Reverse Nodes in k-Group,55.9,0.00669651100488863,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Asteroid Collision,55.9,0.004876242625471,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Predict the Winner,55.9,0.0059879680486440755,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Minimax, Game Theory, Zero-Sum Game"
EASY,Roman to Integer,55.9,0.0067049027990411765,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Lowest Common Ancestor of a Binary Tree,55.9,0.0069951400977484824,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Permutations,48.9,0.008226107653199182,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Two Sorted Lists,48.9,0.006874735114992656,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Rotate Array,48.9,0.004532175079320106,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Split Array Largest Sum,48.9,0.006119137361637512,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Reverse Integer,48.9,0.0032365985796483756,https://leetcode.com/problems/reverse-integer,Math
EASY,Contains Duplicate,48.9,0.006462890773565,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Climbing Stairs,48.9,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Find Median from Data Stream,48.9,0.005487637421105771,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Move Zeroes,48.9,0.006426520020031069,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Meeting Rooms II,48.9,0.005277660995833269,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Largest Number,48.9,0.004358468300955362,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,House Robber III,48.9,0.005622273497684685,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Maximum Sum Circular Subarray,48.9,0.005115591695803902,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
EASY,Palindrome Linked List,48.9,0.00586075034726289,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Running Sum of 1d Array,48.9,0.008707053629743729,https://leetcode.com/problems/running-sum-of-1d-array,"Array, Prefix Sum"
EASY,Intersection of Two Arrays,48.9,0.007820111647638732,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,First Unique Character in a String,48.9,0.006611153379300317,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Valid Palindrome II,48.9,0.004461328879412779,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Monthly Transactions I,48.9,0.005969044434700358,https://leetcode.com/problems/monthly-transactions-i,Database
EASY,Concatenation of Array,48.9,0.00900758888927667,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
EASY,Fibonacci Number,48.9,0.007452180064209408,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Find Minimum in Rotated Sorted Array,48.9,0.005517031810057429,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Diameter of Binary Tree,48.9,0.006608584489249044,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Unique Paths,48.9,0.006717300556067408,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Valid Sudoku,48.9,0.006495053391920732,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Remove Element,48.9,0.006237181968231845,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Find Pivot Index,48.9,0.0063598101123025115,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Permutation in String,48.9,0.004952152888713448,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Stone Game II,48.9,0.007573751519623717,https://leetcode.com/problems/stone-game-ii,"Array, Math, Dynamic Programming, Minimax, Prefix Sum, Game Theory, Zero-Sum Game"
EASY,Valid Anagram,48.9,0.006853215114815539,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,48.9,0.004950589348372612,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Length of Longest Subarray With at Most K Frequency,48.9,0.006050502614472228,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
EASY,Sqrt(x),48.9,0.004223061470169658,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
MEDIUM,Sort Colors,39.1,0.007016884072715112,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
HARD,Largest Rectangle in Histogram,39.1,0.005066326280307808,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,3Sum Closest,39.1,0.004920512672452517,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,39.1,0.008056978348914971,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,String to Integer (atoi),39.1,0.0021566772444169607,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Sum of Subarray Minimums,39.1,0.0038949679780420857,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
EASY,Combine Two Tables,39.1,0.00798795665068269,https://leetcode.com/problems/combine-two-tables,Database
MEDIUM,Jump Game,39.1,0.004138468069420424,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Capacity To Ship Packages Within D Days,39.1,0.007450990532981995,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Partition Equal Subset Sum,39.1,0.004989013203689033,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,House Robber,39.1,0.0053502628777586615,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,4Sum,39.1,0.004145615338772268,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Next Greater Element I,39.1,0.007668483172754845,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Valid Palindrome,39.1,0.005407000425085054,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Design Circular Queue,39.1,0.005521268075158022,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Palindrome Partitioning,39.1,0.0074504463219244865,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Count Primes,39.1,0.003637127513843213,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
MEDIUM,Smallest Subsequence of Distinct Characters,39.1,0.0070564827029259035,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Remove K Digits,39.1,0.0037489879658208023,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
EASY,Power of Two,39.1,0.0050421415478439525,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Happy Number,39.1,0.00601149685323521,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Multiply Strings,39.1,0.004462400499590362,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Number of Unique XOR Triplets II,39.1,0.005290759353843798,https://leetcode.com/problems/number-of-unique-xor-triplets-ii,"Array, Math, Bit Manipulation, Enumeration"
HARD,Wildcard Matching,39.1,0.003262322499166926,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Surrounded Regions,39.1,0.004606683958506796,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Search a 2D Matrix II,39.1,0.005790388268492287,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
EASY,Check if Array Is Sorted and Rotated,39.1,0.0057610454627678555,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Reverse String,39.1,0.008119709932104969,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Smallest Palindromic Rearrangement I,39.1,0.007454088606577148,https://leetcode.com/problems/smallest-palindromic-rearrangement-i,"String, Sorting, Counting Sort"
HARD,Super Washing Machines,39.1,0.004520365717181528,https://leetcode.com/problems/super-washing-machines,"Array, Greedy"
MEDIUM,Largest Divisible Subset,39.1,0.0050003305741411685,https://leetcode.com/problems/largest-divisible-subset,"Array, Math, Dynamic Programming, Sorting"
MEDIUM,Remove Duplicate Letters,39.1,0.00542794922972841,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Reverse Linked List II,39.1,0.005217599261663659,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Insert Delete GetRandom O(1),39.1,0.0055486583995054475,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Binary Tree Maximum Path Sum,39.1,0.004266447538385566,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Design Browser History,39.1,0.007844280460564745,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
EASY,Kids With the Greatest Number of Candies,39.1,0.008800506413044808,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Array
MEDIUM,Ones and Zeroes,39.1,0.005368299056589846,https://leetcode.com/problems/ones-and-zeroes,"Array, String, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,Bulls and Cows,39.1,0.005288257317397806,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
