Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,89.4,0.004786834626576906,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,87.8,0.006802783224080567,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,86.6,0.006495993404723111,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,84.1,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,83.3,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,80.5,0.007312852709282173,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Reorganize String,79.5,0.005744887310946427,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Add Two Numbers,78.4,0.0049132544618928084,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,78.2,0.0038470812842634973,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Container With Most Water,77.5,0.0060648042388392965,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,77.5,0.003969278128577991,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,76.7,0.005257590403796301,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Median of Two Sorted Arrays,76.4,0.004736926664645988,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Valid Parentheses,75.1,0.004472528120893722,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Koko Eating Bananas,74.8,0.005039557778650947,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Course Schedule,74.7,0.005203993313307946,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Longest Common Prefix,73.9,0.00481870369839444,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Merge k Sorted Lists,73.1,0.006029341144142439,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Maximum Subarray,72.7,0.005373528008445135,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,72.7,0.004797978674749575,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Rotting Oranges,72.6,0.005927583344860977,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Merge Sorted Array,72.5,0.005552771146516082,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
