Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.0064959996125990346,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule,79.6,0.0052039958720081205,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Course Schedule II,79.6,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Video Stitching,79.6,0.005290038839387708,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
MEDIUM,Heaters,78.0,0.00424518430888293,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Daily Temperatures,78.0,0.00690564529455735,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Shortest Word Distance,78.0,0.00663811254593344,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Group Anagrams,74.2,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Maximum Number of Visible Points,74.2,0.0038392405852091366,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
HARD,Making A Large Island,74.2,0.005708559214477909,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Find Median from Data Stream,72.0,0.005487636175731712,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Search Suggestions System,66.9,0.006523544993956227,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Shortest Word Distance II,66.9,0.00630014522935277,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Merge Intervals,63.7,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Rotting Oranges,63.7,0.00592758882928566,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Shortest Path in Binary Matrix,63.7,0.005205279499335496,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Push Dominoes,63.7,0.006306377625714379,https://leetcode.com/problems/push-dominoes,"Two Pointers, String, Dynamic Programming"
MEDIUM,Time Based Key-Value Store,60.0,0.005012873077888558,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Spiral Matrix,60.0,0.00576265569995303,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Merge k Sorted Lists,60.0,0.006029342243744213,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
HARD,Race Car,60.0,0.004502420700482496,https://leetcode.com/problems/race-car,"Dynamic Programming, Heuristic Search, A* Search"
