Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Group Anagrams,94.8,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,LRU Cache,88.5,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Hit Counter,88.5,0.006974260701012432,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Time Based Key-Value Store,88.5,0.005012873077888558,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Two Sum,80.4,0.005800920817482973,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Course Schedule II,80.4,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Insert Delete GetRandom O(1),80.4,0.005548648820609658,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,3Sum,80.4,0.003969279798876809,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Find All Lonely Numbers in the Array,80.4,0.006380631771607863,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array,"Array, Hash Table, Counting"
MEDIUM,Design Memory Allocator,80.4,0.0050555935033394055,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Maximum Swap,80.4,0.005209211398210772,https://leetcode.com/problems/maximum-swap,"Math, Greedy"
MEDIUM,Is Graph Bipartite?,80.4,0.005977150282602821,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Graph Coloring, Bipartite Graph"
MEDIUM,Number of Islands,80.4,0.0064959996125990346,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Edit Distance,69.0,0.006111931748074245,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,69.0,0.005725109630013361,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,69.0,0.00481870506173947,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Total Hamming Distance,69.0,0.005533204847103988,https://leetcode.com/problems/total-hamming-distance,"Array, Math, Bit Manipulation"
HARD,Word Ladder,69.0,0.0046325949933067045,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Valid Sudoku,69.0,0.0064950594957767435,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Longest Consecutive Sequence,69.0,0.004720827274495457,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Task Scheduler,69.0,0.0063635053053032,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Parse Lisp Expression,69.0,0.005394257396880922,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,69.0,0.003977887244732649,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Valid Parenthesis String,69.0,0.004040379243260614,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy, Bracket Sequences"
MEDIUM,Design Task Manager,69.0,0.00487328504314298,https://leetcode.com/problems/design-task-manager,"Hash Table, Design, Heap (Priority Queue), Ordered Set"
EASY,Move Zeroes,69.0,0.006426522678647492,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Knight Probability in Chessboard,69.0,0.005725550481530045,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
HARD,LFU Cache,69.0,0.005002874263165587,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
