Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,95.3,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Design Hit Counter,91.5,0.006974260701012432,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Course Schedule II,87.1,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Group Anagrams,84.5,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Islands,81.7,0.0064959996125990346,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Insert Delete GetRandom O(1),81.7,0.005548648820609658,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,78.4,0.005725109630013361,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Reverse Linked List,78.4,0.008094177350721161,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Two Sum,74.7,0.005800920817482973,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,74.7,0.00481870506173947,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Time Based Key-Value Store,74.7,0.005012873077888558,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Subarray Product Less Than K,74.7,0.005485834701064769,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Basic Calculator II,74.7,0.004708536335642504,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Subarray Sum Equals K,74.7,0.0047979783214795275,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Find First and Last Position of Element in Sorted Array,70.2,0.004950593660303967,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,3Sum,70.2,0.003969279798876809,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,64.8,0.003977887244732649,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Palindrome,64.8,0.00540700692650118,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Spiral Matrix,64.8,0.00576265569995303,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Best Time to Buy and Sell Stock II,64.8,0.007150137977057932,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Rotate Image,64.8,0.008056981891180403,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Task Scheduler,64.8,0.0063635053053032,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Serialize and Deserialize N-ary Tree,64.8,0.0068937815924279945,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Edit Distance,64.8,0.006111931748074245,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Total Hamming Distance,64.8,0.005533204847103988,https://leetcode.com/problems/total-hamming-distance,"Array, Math, Bit Manipulation"
MEDIUM,Find All Lonely Numbers in the Array,64.8,0.006380631771607863,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array,"Array, Hash Table, Counting"
MEDIUM,Design Memory Allocator,64.8,0.0050555935033394055,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Merge k Sorted Lists,57.9,0.006029342243744213,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Course Schedule,57.9,0.0052039958720081205,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Word Ladder,57.9,0.0046325949933067045,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Snapshot Array,57.9,0.003680438748494565,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,57.9,0.0062604464704265885,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
MEDIUM,Reverse Integer,57.9,0.003236601789661272,https://leetcode.com/problems/reverse-integer,Math
EASY,Meeting Rooms,57.9,0.005952643913476821,https://leetcode.com/problems/meeting-rooms,"Array, Sorting, Quicksort"
MEDIUM,Design Task Manager,57.9,0.00487328504314298,https://leetcode.com/problems/design-task-manager,"Hash Table, Design, Heap (Priority Queue), Ordered Set"
MEDIUM,Maximum Swap,57.9,0.005209211398210772,https://leetcode.com/problems/maximum-swap,"Math, Greedy"
MEDIUM,Is Graph Bipartite?,57.9,0.005977150282602821,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Graph Coloring, Bipartite Graph"
MEDIUM,Valid Sudoku,48.1,0.0064950594957767435,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Rotate Array,48.1,0.0045321658912078336,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Top K Frequent Elements,48.1,0.006713859439054048,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Longest Palindromic Substring,48.1,0.0038470798655414885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Median of Two Sorted Arrays,48.1,0.004736931294866905,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Reverse Words in a String,48.1,0.005752996569272145,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Odd Even Linked List,48.1,0.006273106436435011,https://leetcode.com/problems/odd-even-linked-list,Linked List
MEDIUM,Minimum Knight Moves,48.1,0.0042057017082814,https://leetcode.com/problems/minimum-knight-moves,"Breadth-First Search, Heuristic Search, Bidirectional Search, A* Search"
MEDIUM,Permutation in String,48.1,0.004952154622493511,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Binary Tree Vertical Order Traversal,48.1,0.005788598039366801,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Letter Combinations of a Phone Number,48.1,0.006665959491254224,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Implement Trie (Prefix Tree),48.1,0.0069914800389483936,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Design Log Storage System,48.1,0.005966114103435654,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Cheapest Flights Within K Stops,48.1,0.004241506521201499,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Construct Binary Tree from Preorder and Postorder Traversal,48.1,0.007806896647012293,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Convert Object to JSON String,48.1,0.007794464236777199,https://leetcode.com/problems/convert-object-to-json-string,
MEDIUM,All Nodes Distance K in Binary Tree,48.1,0.006800066240815135,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Parse Lisp Expression,48.1,0.005394257396880922,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
MEDIUM,Keys and Rooms,48.1,0.007614410976614223,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Longest Consecutive Sequence,48.1,0.004720827274495457,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Text Justification,48.1,0.005189716128123602,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,48.1,0.0072481786609181606,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
MEDIUM,Valid Parenthesis String,48.1,0.004040379243260614,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy, Bracket Sequences"
HARD,Reconstruct Itinerary,48.1,0.0044899327805000624,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
MEDIUM,Partition Equal Subset Sum,48.1,0.004989013217315058,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
EASY,Move Zeroes,48.1,0.006426522678647492,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Find Median from Data Stream,48.1,0.005487636175731712,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Knight Probability in Chessboard,48.1,0.005725550481530045,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
HARD,LFU Cache,48.1,0.005002874263165587,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Spiral Matrix II,48.1,0.007566245489767931,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
MEDIUM,Search in Rotated Sorted Array,48.1,0.004546202419381116,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
