Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,86.9,0.005800920817482973,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,84.5,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Number of Islands,84.5,0.0064959996125990346,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,79.3,0.005725109630013361,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Design Hit Counter,79.3,0.006974260701012432,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Rotate Array,78.2,0.0045321658912078336,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Group Anagrams,77.6,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,77.0,0.006713859439054048,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Longest Common Prefix,76.4,0.00481870506173947,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Valid Sudoku,75.8,0.0064950594957767435,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Reverse Linked List,75.8,0.008094177350721161,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Course Schedule II,73.0,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Course Schedule,72.2,0.0052039958720081205,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Valid Parentheses,71.5,0.004472530077655388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Valid Palindrome,70.6,0.00540700692650118,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Product of Array Except Self,69.8,0.006916445091796937,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
