Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Restore IP Addresses,100.0,0.005679358104782088,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Reverse Nodes in k-Group,95.7,0.0066965109686016756,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reorder List,90.7,0.00660002656775456,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Course Schedule II,90.7,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Reverse Linked List II,84.5,0.005217599261663659,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Contains Duplicate II,84.5,0.005178440677966102,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Inorder Successor in BST II,84.5,0.00611048199304603,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,LRU Cache,84.5,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Maximum Depth of Binary Tree,84.5,0.007852233004775541,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,84.5,0.004546202419381116,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Copy List with Random Pointer,84.5,0.0063509073416312175,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Missing Number,84.5,0.007251660293379314,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Rotated Digits,76.6,0.006408488063660478,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
EASY,Remove Linked List Elements,76.6,0.005521330074644773,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
MEDIUM,Simplify Path,76.6,0.005122077182050488,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove Duplicates from Sorted List II,76.6,0.005235391616134557,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
MEDIUM,Palindromic Substrings,65.4,0.007312510017465137,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Path Sum II,65.4,0.00627416206467224,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Palindromic Substring,65.4,0.0038470798655414885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Word Search,65.4,0.004794635270383615,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Permutations,65.4,0.008226109900892746,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,65.4,0.003977887244732649,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Remove All Occurrences of a Substring,65.4,0.007865664025982249,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Maximum Subarray,65.4,0.005373529045417359,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Swap Nodes in Pairs,65.4,0.007010483822064366,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Word Break,65.4,0.004977850676155265,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Top K Frequent Elements,65.4,0.006713859439054048,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Valid Palindrome,65.4,0.00540700692650118,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Add Two Numbers,65.4,0.0049132569851247365,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
