Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Construct String With Repeat Limit,100.0,0.007078096186862798,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
EASY,Find the Town Judge,96.8,0.005104583185044068,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph Theory"
MEDIUM,Restore IP Addresses,96.8,0.005679358104782088,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Reverse Nodes in k-Group,89.1,0.0066965109686016756,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reverse Linked List II,84.3,0.005217599261663659,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Reorder List,84.3,0.00660002656775456,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,LRU Cache,84.3,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule II,84.3,0.005608725862795852,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Contains Duplicate II,78.3,0.005178440677966102,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Missing Number,78.3,0.007251660293379314,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Inorder Successor in BST II,78.3,0.00611048199304603,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
EASY,Maximum Depth of Binary Tree,78.3,0.007852233004775541,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,78.3,0.004546202419381116,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Copy List with Random Pointer,78.3,0.0063509073416312175,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Rotated Digits,70.6,0.006408488063660478,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
EASY,Remove Linked List Elements,70.6,0.005521330074644773,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
MEDIUM,Permutations,70.6,0.008226109900892746,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Simplify Path,70.6,0.005122077182050488,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove Duplicates from Sorted List II,70.6,0.005235391616134557,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
MEDIUM,Palindromic Substrings,59.8,0.007312510017465137,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Path Sum II,59.8,0.00627416206467224,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Word Search,59.8,0.004794635270383615,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Longest Palindromic Substring,59.8,0.0038470798655414885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Maximum Subarray,59.8,0.005373529045417359,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Word Break,59.8,0.004977850676155265,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Remove All Occurrences of a Substring,59.8,0.007865664025982249,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Top K Frequent Elements,59.8,0.006713859439054048,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Valid Palindrome,59.8,0.00540700692650118,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Substring Without Repeating Characters,59.8,0.003977887244732649,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Swap Nodes in Pairs,59.8,0.007010483822064366,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Decode String,59.8,0.006308994697353077,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Count Negative Numbers in a Sorted Matrix,59.8,0.007972178344536555,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix,"Array, Binary Search, Matrix"
