Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.005999509862590548,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Stock Price Fluctuation ,94.7,0.004925222796734553,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
HARD,All O`one Data Structure,92.3,0.004446796196430027,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Snake Game,88.2,0.0040080569587407555,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Merge Intervals,82.3,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,High-Access Employees,74.6,0.004780258814024434,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,74.6,0.006995141126982303,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Meeting Rooms II,71.2,0.005277665153614223,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Word Search,65.3,0.004794635270383615,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Find the Width of Columns of a Grid,65.3,0.00705944213530973,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Text Justification,63.5,0.005189716128123602,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Number of Possible Sets of Closing Branches,61.5,0.0050777711306725926,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph Theory, Heap (Priority Queue), Enumeration, Shortest Path"
MEDIUM,Lowest Common Ancestor of a Binary Tree IV,61.5,0.007958199356913184,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv,"Hash Table, Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,59.3,0.006013827430412206,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union-Find, Sorting"
MEDIUM,Minimum Cost to Convert String I,59.3,0.006302001367097462,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph Theory, Shortest Path"
HARD,Minimum Cost to Convert String II,59.3,0.005916595668355678,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph Theory, Trie, Shortest Path"
MEDIUM,Maximum Good Subarray Sum,59.3,0.002237814263724987,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
HARD,Verbal Arithmetic Puzzle,59.3,0.0033465666813703864,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
MEDIUM,Smallest Missing Non-negative Integer After Operations,59.3,0.005593540430124104,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
HARD,Minimum Time to Visit a Cell In a Grid,59.3,0.005612331211449528,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
EASY,Best Time to Buy and Sell Stock,56.8,0.005725109630013361,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Logger Rate Limiter,56.8,0.007688304081253721,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,The Time When the Network Becomes Idle,56.8,0.005612324929971989,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Top K Frequent Elements,50.4,0.006713859439054048,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Can Place Flowers,46.2,0.0029279955049642007,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
HARD,Russian Doll Envelopes,46.2,0.003812173031101897,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting, Longest Increasing Subsequence"
EASY,Two Sum,40.8,0.005800920817482973,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,40.8,0.003977887244732649,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,40.8,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Koko Eating Bananas,40.8,0.005039560517269304,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Jump Game II,40.8,0.00433592307658686,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Consecutive Sequence,40.8,0.004720827274495457,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,40.8,0.005352827484014368,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Nth Highest Salary,40.8,0.003990534132877096,https://leetcode.com/problems/nth-highest-salary,Database
MEDIUM,Maximum Subarray,40.8,0.005373529045417359,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Last Day Where You Can Still Cross,40.8,0.00687536427497776,https://leetcode.com/problems/last-day-where-you-can-still-cross,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,40.8,0.004786837595797511,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Rearranging Fruits,40.8,0.005725804127692192,https://leetcode.com/problems/rearranging-fruits,"Array, Hash Table, Greedy, Sort"
MEDIUM,Design Authentication Manager,40.8,0.005866595855694693,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Xor Product,40.8,0.003056968102130081,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
HARD,Minimum Difficulty of a Job Schedule,40.8,0.005980790438819214,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,"Array, Dynamic Programming"
