Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimize Malware Spread,100.0,0.004339433082167205,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Car Fleet,86.0,0.005556782147408351,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Bitwise ORs of Subarrays,86.0,0.0056960917509189255,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
MEDIUM,Group Anagrams,74.9,0.0073128561363822375,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Find the Count of Monotonic Pairs II,74.9,0.002521626931761532,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
MEDIUM,Count Number of Maximum Bitwise-OR Subsets,74.9,0.008947216115018544,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,"Array, Backtracking, Bit Manipulation, Enumeration"
EASY,Best Time to Buy and Sell Stock,74.9,0.005725109630013361,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,74.9,0.0069243294870896055,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Palindromic Substrings,74.9,0.007312510017465137,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
HARD,Count Good Subarrays,74.9,0.002592916943987109,https://leetcode.com/problems/count-good-subarrays,"Array, Stack, Bit Manipulation, Monotonic Stack"
