Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Lexicographically Smallest Generated String,100.0,0.005363059930456125,https://leetcode.com/problems/lexicographically-smallest-generated-string,"String, Greedy, String Matching"
MEDIUM,Double Modular Exponentiation,86.5,0.004802290700845377,https://leetcode.com/problems/double-modular-exponentiation,"Array, Math, Simulation"
EASY,Furthest Point From Origin,84.2,0.00771975457139011,https://leetcode.com/problems/furthest-point-from-origin,"String, Counting"
MEDIUM,Count Submatrices with Top-Left Element and Sum Less Than k,81.8,0.007502132567611404,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,"Array, Matrix, Prefix Sum"
MEDIUM,Mark Elements on Array by Performing Queries,81.8,0.004912421052631579,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Second Highest Salary,67.2,0.004798761494349404,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Partition Labels,61.1,0.00820088580316058,https://leetcode.com/problems/partition-labels,"Hash Table, Two Pointers, String, Greedy"
EASY,Two Sum,61.1,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Lexicographical Numbers,52.6,0.007635221345329739,https://leetcode.com/problems/lexicographical-numbers,"Depth-First Search, Trie"
EASY,Valid Parentheses,52.6,0.00447253154875482,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Number of Islands,52.6,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Longest Common Prefix,52.6,0.004818706075063148,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Next Greater Element I,52.6,0.007668488524149275,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Reverse Words in a String,52.6,0.005753003381535941,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Minimum Number of Days to Make m Bouquets,52.6,0.005705201891882864,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Array, Binary Search"
HARD,Remove Boxes,52.6,0.0049645747465326875,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
