Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,100.0,0.006219627006186676,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
MEDIUM,Decode String,92.6,0.00630900023452826,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Concatenation of Array,92.6,0.009007582757757258,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,Best Time to Buy and Sell Stock II,92.6,0.007150141189599879,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Best Time to Buy and Sell Stock,83.1,0.005725113571199103,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,83.1,0.006064812783424924,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Number of Provinces,83.1,0.007093647275197817,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Add Two Numbers,83.1,0.004913262476278471,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Rotate Image,83.1,0.008056985359227104,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,3Sum Closest,83.1,0.00492051418061214,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
EASY,Maximum Average Subarray I,83.1,0.0048902198979668835,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
MEDIUM,House Robber,83.1,0.005350258069714873,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,83.1,0.007852234574133888,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Merge Intervals,83.1,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Reverse Linked List II,83.1,0.005217604631213987,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
HARD,Stone Game IV,83.1,0.006519361944953155,https://leetcode.com/problems/stone-game-iv,"Math, Dynamic Programming, Minimax, Game Theory, Nim Game, Sprague–Grundy Theorem, Zero-Sum Game"
EASY,Two Sum,69.8,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Median of Two Sorted Arrays,69.8,0.004736934987937765,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Group Anagrams,69.8,0.007312858120048459,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,69.8,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,69.8,0.003969283210506896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Binary Tree Vertical Order Traversal,69.8,0.005788598039366801,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Fibonacci Number,69.8,0.007452188783561155,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,LRU Cache,69.8,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,69.8,0.0068747377964587,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Find K Closest Elements,69.8,0.005001233443505365,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Simplify Path,69.8,0.005122078707996506,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Insert Delete GetRandom O(1),69.8,0.0055486449175325145,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Game Play Analysis IV,69.8,0.004210965598705609,https://leetcode.com/problems/game-play-analysis-iv,Database
EASY,Climbing Stairs,69.8,0.005428115313453636,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Permutations,69.8,0.008226112598117502,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Smallest Divisible Digit Product I,69.8,0.00730541760479171,https://leetcode.com/problems/smallest-divisible-digit-product-i,"Math, Enumeration"
MEDIUM,Two City Scheduling,69.8,0.00688570010462713,https://leetcode.com/problems/two-city-scheduling,"Array, Greedy, Sorting, Hungarian Algorithm, Successive Shortest Path Algorithm"
EASY,Recyclable and Low Fat Products,69.8,0.00886321535602072,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Valid Triangle Number,69.8,0.005713993043473021,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Gas Station,69.8,0.0048557114438384855,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Combination Sum,69.8,0.007700574892658061,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Happy Number,69.8,0.006011505787977179,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Next Permutation,69.8,0.004595875256818724,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Split Array Largest Sum,69.8,0.006119151789018185,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Contains Duplicate II,69.8,0.005178448329631649,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Divide Two Integers,69.8,0.0020225073745163214,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Subsets,69.8,0.008271546849846084,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Zigzag Conversion,69.8,0.005489167344597718,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Longest Consecutive Sequence,69.8,0.004720827093126967,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Smallest Missing Integer Greater Than Sequential Prefix Sum,69.8,0.004997047962557431,https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum,"Array, Hash Table, Sorting"
EASY,Single Number,69.8,0.007815763232670803,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Spiral Matrix,69.8,0.005762660488931093,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Islands,69.8,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Article Views I,69.8,0.00768123856177014,https://leetcode.com/problems/article-views-i,Database
MEDIUM,Reorder List,69.8,0.006600025251684029,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
