Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,82.2,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,82.2,0.006802792075926791,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,82.2,0.005725113571199103,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,79.9,0.004736934987937765,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Merge Intervals,79.9,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Container With Most Water,79.9,0.006064812783424924,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Decode String,79.9,0.00630900023452826,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Valid Palindrome,79.9,0.005407007873665876,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Group Anagrams,77.5,0.007312858120048459,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,74.8,0.004818706075063148,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Subarray Sum Equals K,74.8,0.004797980767213043,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Climbing Stairs,74.8,0.005428115313453636,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,3Sum,74.8,0.003969283210506896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Majority Element,74.8,0.006648696019389536,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Remove Duplicates from Sorted Array,71.8,0.006356272464635198,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Next Permutation,71.8,0.004595875256818724,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Add Two Numbers,68.3,0.004913262476278471,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,68.3,0.0038470789781485217,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,LRU Cache,68.3,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,68.3,0.00447253154875482,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Search in Rotated Sorted Array,68.3,0.004546205405287649,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Consecutive Sequence,68.3,0.004720827093126967,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Single Number,68.3,0.007815763232670803,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Palindrome Number,64.4,0.006087442047122685,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Design Underground System,64.4,0.007459845536187637,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
EASY,Merge Two Sorted Lists,64.4,0.0068747377964587,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Valid Anagram,64.4,0.006853220996661993,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Evaluate Division,64.4,0.006450697482100497,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
MEDIUM,Meeting Rooms II,64.4,0.005277671390271926,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Number of Provinces,64.4,0.007093647275197817,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,House Robber,64.4,0.005350258069714873,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Image,64.4,0.008056985359227104,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Divide Two Integers,64.4,0.0020225073745163214,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Reverse Integer,59.7,0.0032366022758213405,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Number of Islands,59.7,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Product of Array Except Self,59.7,0.006916444008812964,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,59.7,0.004897298140351696,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
EASY,Next Greater Element I,59.7,0.007668488524149275,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Concatenation of Array,59.7,0.009007582757757258,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,Accounts Merge,59.7,0.006188984494707919,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Subsets,59.7,0.008271546849846084,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Swap Nodes in Pairs,59.7,0.007010482071326597,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Subsets II,59.7,0.006182637323883753,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Best Time to Buy and Sell Stock II,59.7,0.007150141189599879,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Daily Temperatures,59.7,0.006905651599929189,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Permutations,59.7,0.008226112598117502,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,3Sum Closest,59.7,0.00492051418061214,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,59.7,0.006219627006186676,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
EASY,Plus One,54.0,0.0050450172445322475,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,"Pow(x, n)",54.0,0.003917052405170452,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Rotting Oranges,54.0,0.005927596265986693,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Koko Eating Bananas,54.0,0.005039566152405535,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Valid Triangle Number,54.0,0.005713993043473021,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Set Matrix Zeroes,54.0,0.006348192408268863,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Search Insert Position,54.0,0.005201637622384934,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Reverse Linked List,54.0,0.008094177526107086,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Squares of a Sorted Array,54.0,0.0074064958883665166,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,54.0,0.005373530527114145,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Basic Calculator,54.0,0.0047111292030051315,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Recyclable and Low Fat Products,54.0,0.00886321535602072,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Contains Duplicate II,54.0,0.005178448329631649,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
HARD,Sliding Window Maximum,54.0,0.004910876146127737,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Isomorphic Strings,54.0,0.004892144341132795,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Find Pivot Index,54.0,0.0063598200688138075,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Top K Frequent Elements,54.0,0.006713868029700678,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Regular Expression Matching,54.0,0.0031576326043810956,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Multiply Strings,54.0,0.004462400048441465,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
