Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,84.4,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Best Time to Buy and Sell Stock,82.6,0.005725113571199103,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,81.7,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,81.7,0.0038470789781485217,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Add Two Numbers,79.7,0.004913262476278471,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Trapping Rain Water,79.7,0.006802792075926791,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,77.5,0.007312858120048459,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Decode String,77.5,0.00630900023452826,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Number of Islands,76.3,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Climbing Stairs,75.0,0.005428115313453636,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Subarray Sum Equals K,75.0,0.004797980767213043,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Median of Two Sorted Arrays,73.7,0.004736934987937765,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,73.7,0.003969283210506896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,73.7,0.00447253154875482,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Meeting Rooms II,72.3,0.005277671390271926,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Longest Consecutive Sequence,72.3,0.004720827093126967,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,70.8,0.006064812783424924,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,70.8,0.004818706075063148,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Merge Two Sorted Lists,70.8,0.0068747377964587,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,70.8,0.006356272464635198,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Majority Element,70.8,0.006648696019389536,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Insert Delete GetRandom O(1),70.8,0.0055486449175325145,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Valid Palindrome,70.8,0.005407007873665876,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Word Search,69.2,0.004794636371693302,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Palindrome Number,67.5,0.006087442047122685,https://leetcode.com/problems/palindrome-number,Math
