Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,86.3,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Insert Delete GetRandom O(1),86.3,0.0055486449175325145,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Number of Islands,85.8,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Add Two Numbers,84.6,0.004913262476278471,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,84.1,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,83.7,0.00447253154875482,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,82.6,0.005725113571199103,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Flatten a Multilevel Doubly Linked List,80.0,0.006329529186937766,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Invalid Transactions,79.8,0.0032499576472645605,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,79.0,0.006802792075926791,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Longest Common Prefix,78.8,0.004818706075063148,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Median of Two Sorted Arrays,78.3,0.004736934987937765,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,78.3,0.003969283210506896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,76.7,0.0038470789781485217,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Word Search,76.7,0.004794636371693302,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Valid Anagram,76.0,0.006853220996661993,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Majority Element,75.3,0.006648696019389536,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Container With Most Water,74.7,0.006064812783424924,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Decode String,74.7,0.00630900023452826,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Palindrome Number,74.2,0.006087442047122685,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Integer,73.9,0.0032366022758213405,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Sorted Array,73.9,0.005552780460080359,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Roman to Integer,71.3,0.00670490993910127,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,71.3,0.0068747377964587,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,71.3,0.006356272464635198,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Consecutive Sequence,70.6,0.004720827093126967,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,LRU Cache,70.6,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Sum Equals K,70.0,0.004797980767213043,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Min Stack,69.3,0.0058550650675162665,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Design Underground System,69.3,0.007459845536187637,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Next Permutation,68.9,0.004595875256818724,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Subsets,68.2,0.008271546849846084,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Maximum Subarray,67.8,0.005373530527114145,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,67.4,0.004546205405287649,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Generate Parentheses,65.0,0.007906590165275944,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
HARD,Word Break II,65.0,0.005602410601850927,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Create Hello World Function,64.5,0.00819158256072678,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Rotate Image,64.1,0.008056985359227104,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Find Peak Element,64.1,0.00471402918242087,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Group Anagrams,63.6,0.007312858120048459,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Climbing Stairs,63.6,0.005428115313453636,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Meeting Rooms II,63.6,0.005277671390271926,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Pascal's Triangle,63.2,0.007929398110653664,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Move Zeroes,63.2,0.0064265245938934104,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
