Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,87.1,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Add Two Numbers,85.2,0.004913262476278471,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,85.1,0.003977890191636289,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,84.7,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Insert Delete GetRandom O(1),84.7,0.0055486449175325145,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,83.9,0.005725113571199103,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,83.8,0.00447253154875482,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Trapping Rain Water,80.9,0.006802792075926791,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,79.6,0.0038470789781485217,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,3Sum,79.6,0.003969283210506896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Invalid Transactions,78.7,0.0032499576472645605,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Flatten a Multilevel Doubly Linked List,78.5,0.006329529186937766,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
HARD,Median of Two Sorted Arrays,78.2,0.004736934987937765,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Longest Common Prefix,78.2,0.004818706075063148,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Word Search,77.8,0.004794636371693302,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Container With Most Water,76.5,0.006064812783424924,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Decode String,75.9,0.00630900023452826,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
