Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786836905342104,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Duplicate Letters,85.1,0.0054279431398727715,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Smallest Subsequence of Distinct Characters,82.6,0.0070564827029259035,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,First Day Where You Have Been in All the Rooms,79.9,0.004044563983615457,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
MEDIUM,Number of Islands,79.9,0.006495998665360571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule,76.8,0.00520400527949122,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Combination Sum,69.0,0.007700574892658061,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Merge Intervals,69.0,0.005257592503796792,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Basic Calculator II,69.0,0.004708538891182927,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Maximal Square,69.0,0.005074627966974904,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Shortest Bridge,69.0,0.005970919657976711,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,House Robber,63.8,0.005350258069714873,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Two Sum,63.8,0.005800924262108931,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,63.8,0.006713868029700678,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Regular Expression Matching,63.8,0.0031576326043810956,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Word Ladder,63.8,0.004632593937071694,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
