Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Memory Allocator,100.0,0.005055448568962082,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Minimize Result by Adding Parentheses to Expression,100.0,0.006833369209059816,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
HARD,Block Placement Queries,94.0,0.004141519762821538,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Text Justification,90.3,0.0051897231256176,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Restore the Array From Adjacent Pairs,90.3,0.007512477437469558,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Simple Bank System,86.0,0.006956878910347154,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Find the Length of the Longest Common Prefix,80.7,0.006226097083965104,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Spiral Matrix,73.8,0.005762664320105749,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Binary Tree Paths,73.8,0.006917621655050464,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Candy Crush,64.2,0.007762864266154412,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Number of Adjacent Elements With the Same Color,64.2,0.0059793453235009505,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
HARD,Distribute Elements Into Two Arrays II,64.2,0.0031232893884629042,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,"Array, Binary Indexed Tree, Segment Tree, Simulation"
MEDIUM,Rotate Image,64.2,0.008056986803121915,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Merge Intervals,64.2,0.005257589399494338,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Alternating Groups II,64.2,0.00599506282008769,https://leetcode.com/problems/alternating-groups-ii,"Array, Sliding Window"
