Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,House Robber,100.0,0.005350259708717962,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,99.5,0.0038470800995286636,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Collect Coins in a Tree,99.0,0.003978782074220641,https://leetcode.com/problems/collect-coins-in-a-tree,"Array, Tree, Graph Theory, Topological Sort"
MEDIUM,Rotate Image,83.8,0.008056986803121915,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Word Search II,83.8,0.003878720594430345,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Lucky Numbers in a Matrix,83.8,0.008022479712292849,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Spiral Matrix,80.5,0.005762664320105749,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Fizz Buzz,73.3,0.007580834485919522,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Find Third Transaction,71.6,0.005388254297911618,https://leetcode.com/problems/find-third-transaction,Database
MEDIUM,Implement Router,71.6,0.0039015016204072325,https://leetcode.com/problems/implement-router,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set"
MEDIUM,Maximum Subarray,69.6,0.005373530489138162,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,69.6,0.0039778944934471625,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Power Grid Maintenance,69.6,0.005590893834023284,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
MEDIUM,LRU Cache,65.0,0.004786839258915928,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,62.3,0.004472534241056997,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Maximum Difference Between Increasing Elements,62.3,0.006665387201054339,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
MEDIUM,Edit Distance,62.3,0.006111935445963414,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
