Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,House Robber,100.0,0.005350259708717962,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,99.5,0.0038470800995286636,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Collect Coins in a Tree,99.0,0.003978782074220641,https://leetcode.com/problems/collect-coins-in-a-tree,"Array, Tree, Graph Theory, Topological Sort"
HARD,Word Search II,84.5,0.003878720594430345,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Rotate Image,83.5,0.008056986803121915,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Lucky Numbers in a Matrix,83.5,0.008022479712292849,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Spiral Matrix,80.1,0.005762664320105749,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Fizz Buzz,72.9,0.007580834485919522,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Find Third Transaction,71.0,0.005388254297911618,https://leetcode.com/problems/find-third-transaction,Database
MEDIUM,Implement Router,71.0,0.0039015016204072325,https://leetcode.com/problems/implement-router,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set"
MEDIUM,Power Grid Maintenance,71.0,0.005590893834023284,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
MEDIUM,Longest Substring Without Repeating Characters,69.0,0.0039778944934471625,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Subarray,69.0,0.005373530489138162,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Number of Valid Words in a Sentence,66.8,0.003137756005012141,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
MEDIUM,LRU Cache,66.8,0.004786839258915928,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Sum of k-Mirror Numbers,66.8,0.006354995687059551,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
HARD,Minimum Cost to Make Array Equal,66.8,0.0046892037983929874,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
