Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Sliding Window Maximum,100.0,0.0049108775355475595,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Count Palindromic Subsequences,97.1,0.004186890686579548,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Palindromic Substrings,92.1,0.007312513639968701,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,88.1,0.005725115877104416,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,85.7,0.005257589399494338,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,LRU Cache,83.2,0.004786839258915928,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Find Median from Data Stream,83.2,0.005487649620471269,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Minimum Operations to Make Numbers Non-positive,83.2,0.004420857104948919,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
MEDIUM,Number of Orders in the Backlog,80.3,0.005425328246140477,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Insert Delete GetRandom O(1),77.1,0.005548642738308258,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Evaluate Division,77.1,0.006450697482100497,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
MEDIUM,Find the Duplicate Number,73.4,0.006476925636970698,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation, Pigeonhole Principle, Floyd's Cycle Finding Algorithm"
HARD,LFU Cache,73.4,0.005002880349198191,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Employee Free Time,73.4,0.007297692673644148,https://leetcode.com/problems/employee-free-time,"Array, Sweep Line, Sorting, Heap (Priority Queue)"
MEDIUM,Meeting Scheduler,73.4,0.005520927377126142,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
HARD,Serialize and Deserialize Binary Tree,69.0,0.006102927937791662,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Design Circular Queue,69.0,0.005521268075158022,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Fizz Buzz,69.0,0.007580834485919522,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Sqrt(x),69.0,0.004223062850648396,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
HARD,Find Servers That Handled Most Number of Requests,69.0,0.004564262202296728,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,"Array, Heap (Priority Queue), Simulation, Ordered Set"
MEDIUM,Smallest Missing Non-negative Integer After Operations,69.0,0.005593540430124104,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
MEDIUM,Evaluate Reverse Polish Notation,63.6,0.005848798084285679,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Number of Islands,63.6,0.006495999775591767,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Parallel Courses III,63.6,0.006681170268334582,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Length of Longest Subarray With at Most K Frequency,63.6,0.0060505386932873904,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
HARD,Couples Holding Hands,63.6,0.00596565348087181,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Course Schedule II,63.6,0.005608739633674329,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Max Consecutive Ones III,63.6,0.006827687673424272,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Merge k Sorted Lists,56.6,0.006029345204124923,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
HARD,Binary Tree Maximum Path Sum,56.6,0.004266444942263211,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Group Anagrams,56.6,0.007312861610836445,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search Suggestions System,56.6,0.006523535673208124,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Implement Trie (Prefix Tree),56.6,0.006991482654504578,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Moving Average from Data Stream,56.6,0.00802284503412172,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
HARD,Design Excel Sum Formula,56.6,0.003950037181131384,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
HARD,Sort Items by Groups Respecting Dependencies,56.6,0.006602288848954885,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Paint House,56.6,0.006452206215691811,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
HARD,Rank Transform of a Matrix,56.6,0.004253529096432188,https://leetcode.com/problems/rank-transform-of-a-matrix,"Array, Union-Find, Graph Theory, Topological Sort, Sorting, Matrix"
MEDIUM,Binary Tree Zigzag Level Order Traversal,56.6,0.00643288247096237,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Count Primes,56.6,0.0036371302224261297,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
HARD,Reconstruct Itinerary,56.6,0.0044899335815843985,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
