Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Circular Queue,100.0,0.005521268075158022,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Reaching Points,87.4,0.003458701577599736,https://leetcode.com/problems/reaching-points,"Math, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Design a Stack With Increment Operation,84.5,0.007991422380868878,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
MEDIUM,3Sum,81.0,0.003969283881641787,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,4Sum,71.2,0.004145624863880142,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,LRU Cache,71.2,0.004786839258915928,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,71.2,0.006029345204124923,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Design Hit Counter,63.5,0.006974266759846454,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Number of Islands,63.5,0.006495999775591767,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Logger Rate Limiter,63.5,0.007688304081253721,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Course Schedule,58.0,0.005204008742329582,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
