Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800925551602618,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,100.0,0.006087443332110619,https://leetcode.com/problems/palindrome-number,Math
EASY,Count Subarrays of Length Three With a Condition,97.8,0.006135714371092863,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition,Array
EASY,Fibonacci Number,86.4,0.0074521906055675016,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Longest Palindromic Substring,86.4,0.0038470800995286636,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Second Highest Salary,86.4,0.004798768961145157,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Longest Substring Without Repeating Characters,82.6,0.0039778944934471625,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Anagram,78.0,0.0068532226626434834,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Valid Parentheses,78.0,0.004472534241056997,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,78.0,0.005725115877104416,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Sorted Array,72.4,0.0055527825086755115,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,72.4,0.004736938680993155,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Subarray Sum Equals K,72.4,0.0047979764011513715,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Subarray,65.2,0.005373530489138162,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Product Sales Analysis I,65.2,0.008610180317107356,https://leetcode.com/problems/product-sales-analysis-i,Database
EASY,Article Views I,65.2,0.007681244615398003,https://leetcode.com/problems/article-views-i,Database
HARD,First Missing Positive,65.2,0.004354275105913863,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Climbing Stairs,65.2,0.00542811680148721,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Max Consecutive Ones,65.2,0.006591762148051581,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Combine Two Tables,65.2,0.007987957554552288,https://leetcode.com/problems/combine-two-tables,Database
MEDIUM,Reverse Integer,55.1,0.003236603393298632,https://leetcode.com/problems/reverse-integer,Math
EASY,Remove Duplicates from Sorted Array,55.1,0.00635627137200593,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Rotate Array,55.1,0.004532142532586431,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Valid Palindrome,55.1,0.005407010473118114,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Rising Temperature,55.1,0.005193872844861245,https://leetcode.com/problems/rising-temperature,Database
EASY,Employees Earning More Than Their Managers,55.1,0.007374413207629622,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
EASY,Binary Search,55.1,0.006130275673505989,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Roman to Integer,55.1,0.006704913157720514,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Find the Highest Altitude,55.1,0.008464356128095063,https://leetcode.com/problems/find-the-highest-altitude,"Array, Prefix Sum"
EASY,Replace Employee ID With The Unique Identifier,55.1,0.008375556091889471,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Database
EASY,Move Zeroes,55.1,0.006426519370396749,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Jump Game,55.1,0.004138473044280138,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Minimum Absolute Difference,55.1,0.007518455004512406,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Single Number,55.1,0.007815766403015952,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,String Compression,55.1,0.0060600886235522775,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Majority Element,55.1,0.006648699068176914,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Next Permutation,55.1,0.004595875611858789,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
