Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Count Subarrays of Length Three With a Condition,100.0,0.006135714371092863,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition,Array
EASY,Two Sum,92.9,0.005800925551602618,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,92.9,0.006087443332110619,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Substring Without Repeating Characters,87.3,0.0039778944934471625,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Smallest Value of the Rearranged Number,79.9,0.005359379500912185,https://leetcode.com/problems/smallest-value-of-the-rearranged-number,"Math, Sorting"
MEDIUM,Longest Palindromic Substring,79.9,0.0038470800995286636,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Sort Array By Absolute Value,79.9,0.008667908709827666,https://leetcode.com/problems/sort-array-by-absolute-value,"Array, Math, Two Pointers, Sorting"
EASY,Fibonacci Number,76.8,0.0074521906055675016,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Second Highest Salary,76.8,0.004798768961145157,https://leetcode.com/problems/second-highest-salary,Database
EASY,Valid Anagram,73.2,0.0068532226626434834,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Merge Sorted Array,69.0,0.0055527825086755115,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,69.0,0.006426519370396749,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Valid Parentheses,69.0,0.004472534241056997,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,69.0,0.005725115877104416,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,63.8,0.004736938680993155,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Valid Palindrome,63.8,0.005407010473118114,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Subarray Sum Equals K,63.8,0.0047979764011513715,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Reverse Integer,57.1,0.003236603393298632,https://leetcode.com/problems/reverse-integer,Math
EASY,Product Sales Analysis I,57.1,0.008610180317107356,https://leetcode.com/problems/product-sales-analysis-i,Database
MEDIUM,Maximum Subarray,57.1,0.005373530489138162,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,57.1,0.00635627137200593,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,First Missing Positive,57.1,0.004354275105913863,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Replace Employee ID With The Unique Identifier,57.1,0.008375556091889471,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Database
EASY,Article Views I,57.1,0.007681244615398003,https://leetcode.com/problems/article-views-i,Database
EASY,Combine Two Tables,57.1,0.007987957554552288,https://leetcode.com/problems/combine-two-tables,Database
EASY,Climbing Stairs,57.1,0.00542811680148721,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Max Consecutive Ones,57.1,0.006591762148051581,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Majority Element,57.1,0.006648699068176914,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Rotate Array,47.8,0.004532142532586431,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Rising Temperature,47.8,0.005193872844861245,https://leetcode.com/problems/rising-temperature,Database
EASY,Binary Search,47.8,0.006130275673505989,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Roman to Integer,47.8,0.006704913157720514,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Jump Game,47.8,0.004138473044280138,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Employees Earning More Than Their Managers,47.8,0.007374413207629622,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
EASY,Find the Highest Altitude,47.8,0.008464356128095063,https://leetcode.com/problems/find-the-highest-altitude,"Array, Prefix Sum"
MEDIUM,String Compression,47.8,0.0060600886235522775,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Single Number,47.8,0.007815766403015952,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Minimum Absolute Difference,47.8,0.007518455004512406,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Linked List Cycle,47.8,0.005490572417390955,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Next Permutation,47.8,0.004595875611858789,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Find Total Time Spent by Each Employee,47.8,0.008640132909043077,https://leetcode.com/problems/find-total-time-spent-by-each-employee,Database
MEDIUM,Nth Highest Salary,47.8,0.003990530877040654,https://leetcode.com/problems/nth-highest-salary,Database
EASY,Third Maximum Number,47.8,0.004016660655881517,https://leetcode.com/problems/third-maximum-number,"Array, Sorting"
MEDIUM,Sort Vowels in a String,47.8,0.008348172403249872,https://leetcode.com/problems/sort-vowels-in-a-string,"String, Sorting"
EASY,Find the Index of the First Occurrence in a String,47.8,0.0047167290644853635,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
MEDIUM,Rank Scores,47.8,0.006853943994516236,https://leetcode.com/problems/rank-scores,Database
MEDIUM,Rotting Oranges,47.8,0.005927600289835979,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
