Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Simple Bank System,100.0,0.006956878910347154,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Zigzag Iterator,91.1,0.006713561889506034,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
MEDIUM,Time Based Key-Value Store,87.3,0.005012869834767928,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Design In-Memory File System,82.7,0.004831380475423341,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Random Pick with Weight,71.0,0.004921195605186074,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Design File System,49.8,0.006517900483302497,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Find the Length of the Longest Common Prefix,49.8,0.006226097083965104,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
EASY,Best Time to Buy and Sell Stock,49.8,0.005725115877104416,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Course Schedule II,49.8,0.005608739633674329,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Design Circular Queue,49.8,0.005521268075158022,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
