Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,LFU Cache,100.0,0.005002916865082506,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Decode String,97.5,0.006308996307066081,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Subsets,94.8,0.008271548376197275,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Break,94.8,0.004977858817400364,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
HARD,Range Module,91.8,0.004541237446164913,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
EASY,Find Pivot Index,91.8,0.0063598245676500685,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Split BST,91.8,0.00821334964179626,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
MEDIUM,Longest Substring with At Most K Distinct Characters,91.8,0.005009988870960146,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule,88.3,0.005204004587206986,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,LRU Cache,84.3,0.004786843442298563,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Shortest Bridge,84.3,0.005970915598371006,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Longest Repeating Substring,79.6,0.0063475592566087655,https://leetcode.com/problems/longest-repeating-substring,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function, Suffix Automaton, Suffix Tree"
MEDIUM,Shopping Offers,79.6,0.005270919274645246,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
HARD,Longest Duplicate Substring,73.9,0.003137022388536615,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function, Suffix Automaton, Suffix Tree, Z Algorithm, Boyer–Moore String-Search Algorithm"
MEDIUM,Longest Substring Without Repeating Characters,73.9,0.0039778981601928335,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Wildcard Matching,73.9,0.0032623403734743533,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Find K Closest Elements,73.9,0.005001242206977988,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Remove K Digits,73.9,0.0037490099525014763,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Largest Rectangle in Histogram,73.9,0.005066342237098226,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Merge Intervals,73.9,0.005257590646773979,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Regular Expression Matching,66.5,0.003157631588547199,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Design In-Memory File System,66.5,0.004831380475423341,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
