Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Count Binary Substrings,100.0,0.0070534191873448445,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Reorganize String,91.8,0.005744910072304318,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,K-th Symbol in Grammar,91.8,0.004861151407888819,https://leetcode.com/problems/k-th-symbol-in-grammar,"Math, Bit Manipulation, Recursion"
MEDIUM,Longest Repeating Character Replacement,91.8,0.006043024584676663,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,91.8,0.004910873481649571,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Count Vowel Substrings of a String,91.8,0.007342379995375887,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Shortest Path in a Grid with Obstacles Elimination,80.2,0.004663178865870844,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Max Consecutive Ones III,80.2,0.0068276874250994815,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Minimum Number of Refueling Stops,80.2,0.004177347167735317,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Asteroid Collision,80.2,0.004876274704449057,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
