Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reorganize String,100.0,0.005744910072304318,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Binary Tree Cameras,93.7,0.004807800665910505,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
HARD,Sliding Window Maximum,93.7,0.004910873481649571,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Count Binary Substrings,93.7,0.0070534191873448445,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Furthest Building You Can Reach,85.6,0.005109716146210063,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
MEDIUM,K-th Symbol in Grammar,85.6,0.004861151407888819,https://leetcode.com/problems/k-th-symbol-in-grammar,"Math, Bit Manipulation, Recursion"
MEDIUM,Longest Repeating Character Replacement,85.6,0.006043024584676663,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
EASY,Count Vowel Substrings of a String,85.6,0.007342379995375887,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Shortest Path in a Grid with Obstacles Elimination,74.2,0.004663178865870844,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Max Consecutive Ones III,74.2,0.0068276874250994815,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Maximum Product Subarray,74.2,0.003689215399057456,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Minimum Number of Refueling Stops,74.2,0.004177347167735317,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Asteroid Collision,74.2,0.004876274704449057,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Find Median from Data Stream,74.2,0.005487682326216285,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Median of Two Sorted Arrays,74.2,0.004736968609794084,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
