Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Most Common Word,100.0,0.004532132544922479,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
MEDIUM,Coin Change,93.8,0.0048973301244353154,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Meeting Scheduler,91.3,0.005520916627545256,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
EASY,Valid Word Abbreviation,89.9,0.0037047809064440955,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Design Add and Search Words Data Structure,85.0,0.004888515625124463,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
EASY,Maximum Depth of N-ary Tree,83.0,0.007375924821483261,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Design Circular Queue,78.5,0.005521268409152651,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,68.9,0.006079674362738556,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
MEDIUM,House Robber,68.9,0.005350273045599958,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Maximum Vacation Days,58.5,0.004679958145343669,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Sliding Window Median,58.5,0.003908052854820207,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue), Treap"
HARD,Binary Tree Maximum Path Sum,58.5,0.004266465049778845,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,House Robber II,58.5,0.004540394014696185,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
