Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Count Binary Substrings,100.0,0.0070534191873448445,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Break a Palindrome,81.3,0.0051624215671782535,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Minimum Value to Get Positive Step by Step Sum,72.3,0.006482919736384212,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,66.0,0.003977937162306769,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,66.0,0.007312895664398646,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,66.0,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximum Subarray,66.0,0.005373539087154113,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Delete Duplicate Emails,57.1,0.0066579648651073344,https://leetcode.com/problems/delete-duplicate-emails,Database
HARD,Department Top Three Salaries,57.1,0.006139896837129079,https://leetcode.com/problems/department-top-three-salaries,Database
EASY,Valid Parentheses,57.1,0.004472563820601804,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Valid Anagram,57.1,0.00685325196893623,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Generate Parentheses,57.1,0.00790661143263633,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Merge Two Sorted Lists,57.1,0.006874749441552822,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Trapping Rain Water,57.1,0.0068028406737841995,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
