Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Smallest K-Length Subsequence With Occurrences of a Letter,100.0,0.004010301449466768,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,"String, Stack, Greedy, Monotonic Stack"
HARD,Apply Operations to Maximize Frequency Score,100.0,0.003977145336853145,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
HARD,Find the Maximum Sum of Node Values,100.0,0.006913671913671914,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
MEDIUM,Maximum Coins Heroes Can Collect,97.0,0.006880060969800895,https://leetcode.com/problems/maximum-coins-heroes-can-collect,"Array, Two Pointers, Binary Search, Sorting, Prefix Sum"
MEDIUM,The Time When the Network Becomes Idle,97.0,0.005612619879896029,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph Theory"
HARD,Maximum Running Time of N Computers,97.0,0.005637855381633987,https://leetcode.com/problems/maximum-running-time-of-n-computers,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Pour Water Between Buckets to Make Water Levels Equal,97.0,0.0068903269754768395,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal,"Array, Binary Search"
EASY,Minimum Operations to Make the Array Increasing,97.0,0.008235287396379052,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,"Array, Greedy"
EASY,Minimum Operations to Collect Elements,97.0,0.006228887490949663,https://leetcode.com/problems/minimum-operations-to-collect-elements,"Array, Hash Table, Bit Manipulation"
MEDIUM,Collecting Chocolates,89.6,0.003545634347429943,https://leetcode.com/problems/collecting-chocolates,"Array, Enumeration"
MEDIUM,Different Ways to Add Parentheses,79.2,0.007353062481284993,https://leetcode.com/problems/different-ways-to-add-parentheses,"Math, String, Dynamic Programming, Recursion, Memoization, Bracket Sequences"
EASY,Longest Common Prefix,71.9,0.0048187220554086405,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Reverse Words in a String,71.9,0.00575304885491141,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Two Sum,61.5,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,61.5,0.005725128351781153,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Squares of a Sorted Array,61.5,0.0074064938476383554,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,N-Queens II,61.5,0.0079193746239949,https://leetcode.com/problems/n-queens-ii,"Backtracking, Algorithm X"
EASY,Pascal's Triangle,61.5,0.007929393782927827,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Split Array With Same Average,61.5,0.0027433570113128123,https://leetcode.com/problems/split-array-with-same-average,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Meet in the Middle, Bitmask"
HARD,Count Increasing Quadruplets,61.5,0.0034517766497461928,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Coin Change,61.5,0.0048973301244353154,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Spiral Matrix,61.5,0.005762702899777518,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
