Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.006414173049628665,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,92.4,0.005695044086814752,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
HARD,Binary Tree Maximum Path Sum,90.6,0.004266465049778845,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Search Suggestions System,82.8,0.006523510165592719,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Maximum Profit in Job Scheduling,77.7,0.0054811953101291085,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Koko Eating Bananas,76.1,0.0050395936197432925,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Single-Threaded CPU,74.4,0.004802560098278105,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Design File System,72.5,0.006517900483302497,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,Shortest Distance from All Buildings,71.8,0.004498036504592978,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Most Profit Assigning Work,67.0,0.005631316893047863,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
HARD,Design In-Memory File System,66.0,0.004831351621779371,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
EASY,Buddy Strings,66.0,0.003417313986063894,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
MEDIUM,Find K Closest Elements,65.0,0.005001262643976486,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Check if One String Swap Can Make Strings Equal,65.0,0.004953737213556182,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Next Greater Element III,63.9,0.0035555144694796813,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,63.9,0.008258009607201073,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Count Nodes With the Highest Score,60.3,0.005281637114403692,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree, DP on Trees"
HARD,Making A Large Island,58.9,0.00570855029441822,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Vertical Order Traversal of a Binary Tree,51.8,0.005452690873978906,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,51.8,0.007008345661956875,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
MEDIUM,01 Matrix,51.8,0.005472584436219233,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
HARD,Largest Rectangle in Histogram,49.5,0.00506638954997254,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Minimum Size Subarray Sum,49.5,0.005261693679396899,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Two Sum,46.8,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Next Permutation,46.8,0.004595885633661851,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Basic Calculator,46.8,0.004711199492072595,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Basic Calculator II,46.8,0.004708553314054232,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Serialize and Deserialize Binary Tree,46.8,0.006102863070963423,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Implement Trie (Prefix Tree),46.8,0.0069914863392823755,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Max Area of Island,46.8,0.007418576199451112,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Asteroid Collision,43.6,0.004876274704449057,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Best Meeting Point,43.6,0.006143219217419532,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Word Search II,43.6,0.0038787481474679354,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Longest Common Subsequence,43.6,0.005947664331196379,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming, Longest Common Subsequence"
MEDIUM,132 Pattern,43.6,0.0035032694454801504,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
HARD,Sliding Window Maximum,39.7,0.004910883255781955,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Basic Calculator III,39.7,0.005349668972398636,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Course Schedule II,39.7,0.005608794500168384,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Number of Islands,39.7,0.00649603671458986,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Ways to Make a Fair Array,39.7,0.006741510800562396,https://leetcode.com/problems/ways-to-make-a-fair-array,"Array, Prefix Sum"
HARD,Minimize Malware Spread,39.7,0.004339416421024741,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Sliding Window Median,39.7,0.003908052854820207,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue), Treap"
MEDIUM,Course Schedule,39.7,0.005204023980398526,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Sudoku Solver,34.7,0.0065586186148334094,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix, Algorithm X, Dancing Links"
MEDIUM,Jump Game,34.7,0.004138481128951067,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Swim in Rising Water,34.7,0.006817670155760335,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Minimax, Heap (Priority Queue), Matrix, Dijkstra's Algorithm"
MEDIUM,Count Sub Islands,34.7,0.007308719403770726,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Maximum Path Quality of a Graph,34.7,0.006280315069439646,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph Theory"
