Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Simple Bank System,100.0,0.006956928323890204,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Web Crawler,95.0,0.006871576814803473,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Web Crawler Multithreaded,95.0,0.005133506440324623,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Minimize Malware Spread,95.0,0.004339416421024741,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
EASY,Two Sum,92.1,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Median of Two Sorted Arrays,92.1,0.004736973625726364,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Letter Combinations of a Phone Number,92.1,0.00666599314734388,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Grid Illumination,92.1,0.003991117814647226,https://leetcode.com/problems/grid-illumination,"Array, Hash Table"
MEDIUM,Find Duplicate File in System,92.1,0.006748934711999762,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
HARD,Word Break II,92.1,0.005602422321927091,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
HARD,Number of Valid Words for Each Puzzle,92.1,0.0048101690367587865,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,"Array, Hash Table, String, Bit Manipulation, Trie"
EASY,Word Pattern,92.1,0.004451276792373911,https://leetcode.com/problems/word-pattern,"Hash Table, String"
MEDIUM,Game of Life,92.1,0.007294280419357083,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Word Pattern II,92.1,0.004913577848502683,https://leetcode.com/problems/word-pattern-ii,"Hash Table, String, Backtracking"
HARD,Design a Text Editor,92.1,0.005142438276746744,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Check If It Is a Good Array,92.1,0.006576073593010977,https://leetcode.com/problems/check-if-it-is-a-good-array,"Array, Math, Number Theory, Bézout's Lemma, Euclidean Algorithm, Greatest Common Divisor, Extended Euclidean Algorithm"
MEDIUM,Design Hit Counter,92.1,0.006974238013047187,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Seat Reservation Manager,92.1,0.00673763209617571,https://leetcode.com/problems/seat-reservation-manager,"Design, Heap (Priority Queue)"
HARD,Minimize Malware Spread II,92.1,0.004598114378943417,https://leetcode.com/problems/minimize-malware-spread-ii,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Guess the Word,80.5,0.003660275621759791,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Minimax, Interactive, Game Theory"
HARD,Candy,67.9,0.004904699227433804,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Merge Intervals,58.0,0.005257634241389205,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
