Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Decode Ways,100.0,0.003844581633257514,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Move Zeroes,94.2,0.0064265424296464195,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,86.7,0.003977937162306769,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,86.7,0.005552801689926469,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Query Kth Smallest Trimmed Number,86.7,0.004806396925858951,https://leetcode.com/problems/query-kth-smallest-trimmed-number,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect"
MEDIUM,Max Consecutive Ones III,86.7,0.006827682584635429,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Longest Increasing Path in a Matrix,76.2,0.005695044086814752,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
MEDIUM,Group Anagrams,76.2,0.007312895664398646,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Remove K Digits,76.2,0.003749074710202562,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
EASY,First Unique Character in a String,76.2,0.006611192143859762,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
