Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,91.2,0.003977937162306769,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,85.1,0.0048187220554086405,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Longest Palindromic Substring,81.4,0.0038471098577563916,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Valid Parentheses,81.4,0.004472563820601804,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Valid Anagram,81.4,0.00685325196893623,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Move Zeroes,77.0,0.0064265424296464195,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Group Anagrams,71.7,0.007312895664398646,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Merge Sorted Array,71.7,0.005552801689926469,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,71.7,0.005725128351781153,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,64.8,0.004720824681488169,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,String Compression,64.8,0.006060155075363802,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Rotate Array,64.8,0.004532013684447328,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Trapping Rain Water,64.8,0.0068028406737841995,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Reverse Vowels of a String,64.8,0.00620860449079467,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
MEDIUM,3Sum,64.8,0.003969310235048952,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Add Two Numbers,55.1,0.004913301047875473,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Palindrome Number,55.1,0.006087450266745969,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse String,55.1,0.00811973526473327,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Maximum Difference Between Node and Ancestor,55.1,0.007823403011518149,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Reverse Integer,55.1,0.0032366167589764462,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,"Pow(x, n)",55.1,0.003917076908154224,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Two Sum II - Input Array Is Sorted,55.1,0.006568609963669297,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
EASY,First Unique Character in a String,55.1,0.006611192143859762,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Merge Intervals,55.1,0.005257634241389205,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Duplicate Emails,55.1,0.007419641986863692,https://leetcode.com/problems/duplicate-emails,Database
MEDIUM,Generate Parentheses,55.1,0.00790661143263633,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Roman to Integer,55.1,0.0067049325279030505,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,55.1,0.005373539087154113,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Count Salary Categories,55.1,0.0065114831413173955,https://leetcode.com/problems/count-salary-categories,Database
HARD,First Missing Positive,55.1,0.004354285963290416,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Multiply Strings,55.1,0.004462393124981762,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Reverse Words in a String,55.1,0.00575304885491141,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Unique Paths,55.1,0.006717318019800562,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Edit Distance,55.1,0.006111942599002659,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Reverse Linked List,55.1,0.0080941961745225,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Counter,55.1,0.008244048083591062,https://leetcode.com/problems/counter,
MEDIUM,Sort Characters By Frequency,55.1,0.007571027026751469,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Top K Frequent Elements,55.1,0.006713895062201222,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Kth Largest Element in an Array,55.1,0.006924363483272714,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
