Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Additive Number,100.0,0.003428211138067629,https://leetcode.com/problems/additive-number,"String, Backtracking"
MEDIUM,Spiral Matrix,93.9,0.005762705428269967,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Letter Combinations of a Phone Number,88.4,0.006665996652311118,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Valid Parentheses,85.0,0.004472562498093404,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Self Dividing Numbers,83.1,0.008113444160735951,https://leetcode.com/problems/self-dividing-numbers,Math
MEDIUM,Stepping Numbers,78.5,0.0048636171113934775,https://leetcode.com/problems/stepping-numbers,"Math, Backtracking, Breadth-First Search"
MEDIUM,Angle Between Hands of a Clock,69.0,0.006987941494851849,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Word Search,64.4,0.004794679848575189,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Bulls and Cows,58.6,0.005288296429669015,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
EASY,Two Sum,58.6,0.00580095144413897,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Count Primes,58.6,0.003637091236436949,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
MEDIUM,Palindromic Substrings,50.4,0.007312517816440686,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Permutations,50.4,0.008226141856955041,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Longest Palindromic Substring,50.4,0.0038471102706717423,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Longest Increasing Path in a Matrix,50.4,0.005695053990694935,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
EASY,Valid Palindrome,50.4,0.005407043295750404,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
