Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Group Anagrams,100.0,0.007312897991491617,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,100.0,0.00525763756239288,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Two Sum,100.0,0.00580095144413897,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Find Pivot Index,87.5,0.006359848418084076,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Remove Stones to Minimize the Total,87.5,0.00660988167586129,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
HARD,Sliding Window Maximum,87.5,0.004910891640522027,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Basic Calculator II,87.5,0.004708553877062165,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,LFU Cache,87.5,0.005002935001290914,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,LRU Cache,87.5,0.004786875211032887,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Maximum Frequency Stack,87.5,0.006704393934695649,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
MEDIUM,Capacity To Ship Packages Within D Days,87.5,0.007450822547462286,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,87.5,0.006219648190799613,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
