Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find the Smallest Divisor Given a Threshold,100.0,0.006660770027141949,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,The kth Factor of n,94.6,0.00706858330179279,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory, Prime Factorization"
MEDIUM,Valid Triangle Number,94.6,0.005713965073382652,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,The Earliest Moment When Everyone Become Friends,91.4,0.0066116242364710545,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
MEDIUM,Minimum Swaps to Group All 1's Together,91.4,0.006128295435117114,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Break a Palindrome,91.4,0.0051624215671782535,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Unique Substrings With Equal Digit Frequency,91.4,0.00646303278164739,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
EASY,Valid Word,91.4,0.005084752246113829,https://leetcode.com/problems/valid-word,String
HARD,Minimum Replacements to Sort the Array,91.4,0.005310344827586206,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,String Compression,91.4,0.006060153957959054,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Divide Players Into Teams of Equal Skill,91.4,0.006892935744185043,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Rearrange Words in a Sentence,91.4,0.006731481294134309,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
MEDIUM,Number of Good Binary Strings,91.4,0.0052851864292912335,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
EASY,Most Visited Sector in  a Circular Track,91.4,0.0060029163021289,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
HARD,Minimum One Bit Operations to Make Integers Zero,91.4,0.00782056825986315,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Math, Dynamic Programming, Bit Manipulation, Recursion, Memoization"
MEDIUM,Group Anagrams,83.6,0.007312897991491617,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,83.6,0.00525763756239288,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Remove Duplicate Letters,83.6,0.005427931288657423,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
EASY,Two Sum,78.7,0.00580095144413897,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Remove Stones to Minimize the Total,78.7,0.00660988167586129,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
EASY,Valid Parentheses,72.7,0.004472562498093404,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,72.7,0.005725128625264713,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,72.7,0.004786875211032887,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Count Vowel Substrings of a String,72.7,0.007342379995375887,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Maximum Palindromes After Operations,72.7,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Find Pivot Index,72.7,0.006359848418084076,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Count and Say,72.7,0.006361989281886388,https://leetcode.com/problems/count-and-say,String
HARD,Sliding Window Maximum,72.7,0.004910891640522027,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,House Robber,64.9,0.005350273306776625,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Number of Islands,64.9,0.006496038342063613,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Roman to Integer,64.9,0.006704934673603531,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Number of Visible People in a Queue,64.9,0.007346109899241716,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
EASY,Minimum Number of Chairs in a Waiting Room,64.9,0.007965289220826467,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,"String, Simulation"
MEDIUM,Flip String to Monotone Increasing,64.9,0.00619362235315883,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming"
MEDIUM,Reorganize String,64.9,0.005744916492750389,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,64.9,0.004152480386127728,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,54.1,0.003977940350426659,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,54.1,0.007804381096665481,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy, Bracket Sequences"
HARD,Trapping Rain Water,54.1,0.006802841743682541,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Find the Index of the First Occurrence in a String,54.1,0.004716729296131534,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
EASY,Degree of an Array,54.1,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Rotting Oranges,54.1,0.00592762106382229,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Container With Most Water,54.1,0.006064825682546032,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Generate Parentheses,54.1,0.007906612516835504,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Verify Preorder Sequence in Binary Search Tree,54.1,0.00518255976269412,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
MEDIUM,Kth Smallest Element in a BST,54.1,0.007721474167407704,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Word Ladder,54.1,0.004632624038908131,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Cheapest Flights Within K Stops,54.1,0.004241511632931685,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
EASY,Minimum Value to Get Positive Step by Step Sum,54.1,0.006482894247006965,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
MEDIUM,Maximum Points You Can Obtain from Cards,54.1,0.005824680821657482,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,54.1,0.006665996652311118,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,K-diff Pairs in an Array,54.1,0.0046237907485070645,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Reformat Date,54.1,0.006882400979991833,https://leetcode.com/problems/reformat-date,String
MEDIUM,Maximum Number of Events That Can Be Attended,54.1,0.0039056367849819103,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Max Area of Island,54.1,0.0074185835577125344,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,54.1,0.004708553877062165,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,LFU Cache,54.1,0.005002935001290914,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Validate Binary Search Tree,54.1,0.003620629875340786,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Maximum Frequency Stack,54.1,0.006704393934695649,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
MEDIUM,Koko Eating Bananas,54.1,0.005039594988911579,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Search in Rotated Sorted Array,54.1,0.00454622715041736,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Capacity To Ship Packages Within D Days,54.1,0.007450822547462286,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Palindrome Pairs,54.1,0.00374957717295181,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
MEDIUM,Max Consecutive Ones III,54.1,0.006827679570887288,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,String to Integer (atoi),54.1,0.0021567111347315098,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Check if a Parentheses String Can Be Valid,54.1,0.004524706277560944,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,"String, Stack, Greedy, Bracket Sequences"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,54.1,0.006219648190799613,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
MEDIUM,Subarray Product Less Than K,54.1,0.0054858500602879634,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Fruit Into Baskets,54.1,0.005215358786095594,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
