Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points You Can Obtain from Cards,100.0,0.005824680821657482,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Transform Array to All Equal Elements,93.0,0.0033326669121902454,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy"
MEDIUM,Container With Most Water,87.1,0.006064825682546032,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Rotting Oranges,87.1,0.00592762106382229,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Gas Station,87.1,0.004855702998259454,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Trapping Rain Water,83.6,0.006802841743682541,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Two Sum,79.5,0.00580095144413897,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Largest Rectangle in Histogram,79.5,0.005066392461860604,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
HARD,Cherry Pickup II,68.8,0.007259671612355816,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Asteroid Collision,68.8,0.004876281471098886,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Cut Off Trees for Golf Event,68.8,0.003677965888138968,https://leetcode.com/problems/cut-off-trees-for-golf-event,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
HARD,Create Maximum Number,68.8,0.0036487927819738963,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Koko Eating Bananas,68.8,0.005039594988911579,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Search in Rotated Sorted Array,68.8,0.00454622715041736,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,68.8,0.007208309396858571,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Next Permutation,68.8,0.004595885787098842,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Sum of Subarray Minimums,68.8,0.0038950009666001845,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
HARD,Rectangle Area II,68.8,0.005658832392644099,https://leetcode.com/problems/rectangle-area-ii,"Array, Segment Tree, Sweep Line, Ordered Set"
HARD,Contain Virus,68.8,0.0055768173320136375,https://leetcode.com/problems/contain-virus,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation"
MEDIUM,Longest Substring Without Repeating Characters,61.2,0.003977940350426659,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Capacity To Ship Packages Within D Days,61.2,0.007450822547462286,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Subarray Sum Equals K,61.2,0.004798000096487202,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Width of Binary Tree,61.2,0.0045975137587861955,https://leetcode.com/problems/maximum-width-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Edit Distance,61.2,0.006111942599002659,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Find Median from Data Stream,61.2,0.005487680250476816,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Dungeon Game,61.2,0.004200809393825798,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
EASY,Next Greater Element I,61.2,0.007668400547397694,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,61.2,0.007906612516835504,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Cheapest Flights Within K Stops,61.2,0.004241511632931685,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Unique Paths,61.2,0.0067173186522295715,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Minimum Area Rectangle,61.2,0.005549171230618953,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
HARD,Critical Connections in a Network,61.2,0.006037219011825876,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph Theory, Biconnected Component, Bridge (Graph)"
HARD,Smallest Range Covering Elements from K Lists,61.2,0.007032804009378925,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
HARD,Trapping Rain Water II,61.2,0.0064193145683665055,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Amount of Time for Binary Tree to Be Infected,61.2,0.0065872288329177795,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,61.2,0.006029385659706048,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,3Sum,61.2,0.003969310668295683,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Pacific Atlantic Water Flow,61.2,0.006134387676967855,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Number of Islands,50.6,0.006496038342063613,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Product of Array Except Self,50.6,0.006916444980013553,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,01 Matrix,50.6,0.005472586466088725,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Shortest Bridge,50.6,0.00597095395782115,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Median of Two Sorted Arrays,50.6,0.004736971971856652,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
