Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points You Can Obtain from Cards,100.0,0.005824680821657482,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
HARD,Contain Virus,100.0,0.0055768173320136375,https://leetcode.com/problems/contain-virus,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation"
MEDIUM,Transform Array to All Equal Elements,84.3,0.0033326669121902454,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy"
MEDIUM,Minimum Number of Coins to be Added,82.0,0.005791870844431792,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,"Array, Greedy, Sorting"
MEDIUM,Rotting Oranges,82.0,0.00592762106382229,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Design Movie Rental System,79.4,0.006214207668504417,https://leetcode.com/problems/design-movie-rental-system,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set"
EASY,Two Sum,76.6,0.00580095144413897,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Container With Most Water,76.6,0.006064825682546032,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,The Score of Students Solving Math Expression,76.6,0.003455320040507036,https://leetcode.com/problems/the-score-of-students-solving-math-expression,"Array, Hash Table, Math, String, Dynamic Programming, Stack, Memoization"
MEDIUM,Minimum Cost to Reach City With Discounts,76.6,0.0061165048543689315,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,"Graph Theory, Heap (Priority Queue), Shortest Path, Dijkstra's Algorithm"
MEDIUM,Numbers With Same Consecutive Differences,76.6,0.005933101273111601,https://leetcode.com/problems/numbers-with-same-consecutive-differences,"Backtracking, Breadth-First Search"
HARD,Triples with Bitwise AND Equal To Zero,76.6,0.006042813029648719,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,"Array, Hash Table, Bit Manipulation"
MEDIUM,Minimum Limit of Balls in a Bag,76.6,0.006596856046540414,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
MEDIUM,Gas Station,76.6,0.004855702998259454,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Find The Least Frequent Digit,76.6,0.006970806661881674,https://leetcode.com/problems/find-the-least-frequent-digit,"Array, Hash Table, Math, Counting"
HARD,Trapping Rain Water,73.3,0.006802841743682541,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Largest Rectangle in Histogram,69.6,0.005066392461860604,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Search in Rotated Sorted Array,65.2,0.00454622715041736,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Cheapest Flights Within K Stops,65.2,0.004241511632931685,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Kth Largest Element in an Array,59.8,0.006924369643845974,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Create Maximum Number,59.8,0.0036487927819738963,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Asteroid Collision,59.8,0.004876281471098886,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Koko Eating Bananas,59.8,0.005039594988911579,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Cherry Pickup II,59.8,0.007259671612355816,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Cut Off Trees for Golf Event,59.8,0.003677965888138968,https://leetcode.com/problems/cut-off-trees-for-golf-event,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
