Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Largest Palindromic Number,100.0,0.0037350762933879064,https://leetcode.com/problems/largest-palindromic-number,"Hash Table, String, Greedy, Counting"
MEDIUM,Maximum Number of Potholes That Can Be Fixed,100.0,0.005350037773860489,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"String, Greedy, Sorting"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,87.6,0.006374802235557344,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Cinema Seat Allocation,87.6,0.004494188492689596,https://leetcode.com/problems/cinema-seat-allocation,"Array, Hash Table, Greedy, Bit Manipulation"
MEDIUM,Number of Spaces Cleaning Robot Cleaned,79.9,0.006459153423725519,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Array, Matrix, Simulation"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,79.9,0.00484113520700564,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Coin Change,79.9,0.0048973326394596865,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,79.9,0.0062604960840533415,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
HARD,First Missing Positive,68.2,0.0043542872859601775,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Minimum Moves to Spread Stones Over Grid,68.2,0.0045880782789085054,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Matrix, Bitmask"
MEDIUM,Path With Maximum Minimum Value,68.2,0.005476939359608849,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix, Dijkstra's Algorithm"
MEDIUM,Merge Intervals,68.2,0.00525763756239288,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Valid Sudoku,58.9,0.0064950722647430905,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Best Time to Buy and Sell Stock II,58.9,0.007150173268437234,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Remove All Adjacent Duplicates In String,58.9,0.007386806615615578,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Integer to Roman,58.9,0.007149616555830828,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Remove All Occurrences of a Substring,58.9,0.007865711721173793,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
