Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Connected Components in an Undirected Graph,100.0,0.0065101303151850285,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Implement Trie (Prefix Tree),65.5,0.0069914863392823755,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,65.5,0.006374802235557344,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Minimum Path Sum,60.2,0.006874286330677579,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Dot Product of Two Sparse Vectors,60.2,0.00898920702566936,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design, Linear Algebra"
EASY,Widest Vertical Area Between Two Points Containing No Points,52.8,0.00871239654018519,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points,"Array, Sorting"
HARD,First Missing Positive,52.8,0.0043542872859601775,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,52.8,0.004786875211032887,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Serialize and Deserialize Binary Tree,52.8,0.006102863893992712,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Maximum Sum of 3 Non-Overlapping Subarrays,52.8,0.005999105525447425,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,"Array, Dynamic Programming, Sliding Window, Prefix Sum"
