Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Connected Components in an Undirected Graph,100.0,0.0065101303151850285,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,69.0,0.006374802235557344,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Implement Trie (Prefix Tree),64.8,0.0069914863392823755,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Path Sum,59.4,0.006874286330677579,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Dot Product of Two Sparse Vectors,59.4,0.00898920702566936,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design, Linear Algebra"
HARD,Maximum Sum of 3 Non-Overlapping Subarrays,59.4,0.005999105525447425,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,"Array, Dynamic Programming, Sliding Window, Prefix Sum"
MEDIUM,LRU Cache,51.8,0.004786875211032887,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,First Missing Positive,51.8,0.0043542872859601775,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Widest Vertical Area Between Two Points Containing No Points,51.8,0.00871239654018519,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points,"Array, Sorting"
HARD,Serialize and Deserialize Binary Tree,51.8,0.006102863893992712,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Guess the Word,51.8,0.003660275621759791,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Minimax, Interactive, Game Theory"
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,51.8,0.006153051151358865,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
MEDIUM,Merge Intervals,51.8,0.00525763756239288,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
