Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Sell Diminishing-Valued Colored Balls,81.7,0.0030387360552114762,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Longest Palindromic Subsequence,78.0,0.006580390915743384,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
EASY,High Five,75.8,0.007417356962265157,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
HARD,Median of Two Sorted Arrays,70.6,0.004736972853624943,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Minimum Path Sum,67.4,0.006874285022092097,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Fraction to Recurring Decimal,63.6,0.0031256555608260234,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,Merge Intervals,63.6,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Count Paths That Can Form a Palindrome in a Tree,63.6,0.005207741365157542,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Domino and Tromino Tiling,63.6,0.005126150668903393,https://leetcode.com/problems/domino-and-tromino-tiling,Dynamic Programming
MEDIUM,Container With Most Water,59.0,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,First Unique Character in a String,59.0,0.006611194846272966,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,String Compression,59.0,0.006060152682054325,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Islands,59.0,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,59.0,0.004786878945345611,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,59.0,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,53.1,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,53.1,0.003969310706550047,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Robot Return to Origin,53.1,0.007817544079912742,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
MEDIUM,Group Anagrams,53.1,0.007312899263058849,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search in Rotated Sorted Array,53.1,0.0045462287719182275,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Search a 2D Matrix II,53.1,0.0057904544449880815,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
HARD,Binary Tree Maximum Path Sum,53.1,0.00426647267349539,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
EASY,Sqrt(x),44.8,0.0042230778998847175,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
HARD,Minimum Window Substring,44.8,0.004825493507502785,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Unique Paths,44.8,0.006717319386645839,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Daily Temperatures,44.8,0.006905688097164086,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Design HashMap,44.8,0.006675580197036817,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Find the Winner of the Circular Game,44.8,0.008232477761962207,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
EASY,Pascal's Triangle,44.8,0.00792939553273491,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Valid Arrangement of Pairs,44.8,0.006674159583518705,https://leetcode.com/problems/valid-arrangement-of-pairs,"Array, Depth-First Search, Graph Theory, Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
MEDIUM,Find the Winner of an Array Game,44.8,0.005686506974591772,https://leetcode.com/problems/find-the-winner-of-an-array-game,"Array, Simulation"
MEDIUM,Course Schedule,44.8,0.005204027058448488,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Two Sum,44.8,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Gas Station,44.8,0.004855703095776569,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Longest Palindromic Substring,44.8,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Search a 2D Matrix,44.8,0.005438013772610336,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Koko Eating Bananas,44.8,0.005039596312916795,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
