Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,75.5,0.0049133031989980576,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Palindrome Number,73.0,0.006087452653515256,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,70.1,0.003969310706550047,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,70.1,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,68.2,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,68.2,0.004736972853624943,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Best Time to Buy and Sell Stock,68.2,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,64.3,0.004818721754065003,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Concatenation of Array,64.3,0.009007575233004196,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,Reverse Integer,63.6,0.003236617820255834,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Container With Most Water,62.3,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Consecutive Sequence,62.3,0.004720829463333571,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Majority Element,62.3,0.0066486982475450675,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Remove Duplicates from Sorted Array,59.3,0.006356305681717479,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Valid Parentheses,58.4,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Longest Palindromic Substring,58.4,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Valid Anagram,57.5,0.006853252750934069,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Subarray Sum Equals K,56.6,0.004798003185147457,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Sqrt(x),56.6,0.0042230778998847175,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
EASY,Merge Sorted Array,55.6,0.0055528006725092515,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Recyclable and Low Fat Products,55.6,0.00886323665284793,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Maximum Subarray,54.6,0.005373544916094741,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Two Sorted Lists,54.6,0.00687474806884603,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Roman to Integer,53.5,0.00670493570907236,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Rotate Array,53.5,0.0045320104908535665,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Combine Two Tables,53.5,0.007987956471591194,https://leetcode.com/problems/combine-two-tables,Database
MEDIUM,"Pow(x, n)",52.4,0.003917077259696646,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Number of Islands,52.4,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Split Array Largest Sum,52.4,0.006119229640773564,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,4Sum,51.1,0.004145656171175596,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,51.1,0.0045462287719182275,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Climbing Stairs,51.1,0.005428138437253181,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Group Anagrams,51.1,0.007312899263058849,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Rotate Image,51.1,0.008057026987892065,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,N-Queens,51.1,0.00762697634598655,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
HARD,Largest Rectangle in Histogram,51.1,0.0050663909066189896,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
EASY,Reverse Linked List,49.8,0.00809419704868803,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Binary Search,49.8,0.006130284718143016,https://leetcode.com/problems/binary-search,"Array, Binary Search"
MEDIUM,3Sum Closest,49.8,0.004920550647540531,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
EASY,Missing Number,49.8,0.0072516587851074055,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,LRU Cache,48.3,0.004786878945345611,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Search Insert Position,48.3,0.0052016621955774675,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Letter Combinations of a Phone Number,48.3,0.006665995951741324,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Generate Parentheses,48.3,0.007906613058934668,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,House Robber,48.3,0.005350272910647792,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Merge Strings Alternately,48.3,0.008214734802222103,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Max Consecutive Ones,48.3,0.006591775174847295,https://leetcode.com/problems/max-consecutive-ones,Array
HARD,Sliding Window Maximum,48.3,0.004910893029866308,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Next Greater Element I,48.3,0.007668402819222038,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Best Time to Buy and Sell Stock II,48.3,0.007150173910926223,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Contains Duplicate,46.8,0.006462906336887264,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Koko Eating Bananas,46.8,0.005039596312916795,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,First Missing Positive,46.8,0.004354286870951085,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Spiral Matrix,46.8,0.00576270925930614,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Valid Palindrome,46.8,0.005407045695977512,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Happy Number,46.8,0.006011541540506757,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Rotting Oranges,46.8,0.0059276145961708075,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Move Zeroes,46.8,0.0064265438425801895,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Employees Earning More Than Their Managers,46.8,0.007374443558968662,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
MEDIUM,Find the Duplicate Number,46.8,0.00647692828528442,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation, Pigeonhole Principle, Floyd's Cycle Finding Algorithm"
EASY,Reverse String,46.8,0.008119736766942312,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Fruit Into Baskets,46.8,0.005215366562428964,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
EASY,Remove Element,45.0,0.006237195372525857,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Longest Repeating Character Replacement,45.0,0.0060430384391572,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Jump Game,45.0,0.004138483194849731,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Power of Two,45.0,0.005042139326860378,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Product of Array Except Self,45.0,0.006916447516374479,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Two Sum II - Input Array Is Sorted,45.0,0.006568610121556577,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Sort an Array,45.0,0.005579254665195933,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
EASY,Contains Duplicate II,45.0,0.0051785078955989,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Binary Tree Inorder Traversal,45.0,0.008051021205380088,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Size Subarray Sum,45.0,0.005261691799188636,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Merge Intervals,43.2,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Plus One,43.2,0.0050450412468024015,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Meeting Rooms II,43.2,0.005277676895072449,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Top K Frequent Elements,43.2,0.006713894888358451,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Partition Equal Subset Sum,43.2,0.004989071116184731,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,String to Integer (atoi),43.2,0.0021567143342124933,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Maximum XOR of Two Numbers in an Array,43.2,0.005371108428795918,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,"Array, Hash Table, Bit Manipulation, Trie"
MEDIUM,Sort List,43.2,0.006518684803039642,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
EASY,Maximum Depth of Binary Tree,43.2,0.00785224673227445,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Logger Rate Limiter,41.0,0.007688314472535719,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Decode String,41.0,0.006309032512604954,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Coin Change,41.0,0.004897333499992624,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Find Peak Element,41.0,0.004714050571489004,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Middle of the Linked List,41.0,0.008227615067030762,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Binary Tree Level Order Traversal,41.0,0.007328993173656603,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Intersection of Two Arrays,41.0,0.007820152771350486,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Maximum Product Subarray,41.0,0.003689222184060095,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Check if Array Is Sorted and Rotated,41.0,0.00576111884252575,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Running Sum of 1d Array,41.0,0.008707016197561101,https://leetcode.com/problems/running-sum-of-1d-array,"Array, Prefix Sum"
MEDIUM,Combination Sum,41.0,0.007700611045947865,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Next Greater Element II,41.0,0.0069005638853998266,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
