Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,76.6,0.0049133031989980576,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Palindrome Number,71.8,0.006087452653515256,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,70.4,0.003969310706550047,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,69.9,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,69.4,0.004736972853624943,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Substring Without Repeating Characters,69.4,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,68.7,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Concatenation of Array,67.8,0.009007575233004196,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
EASY,Longest Common Prefix,67.6,0.004818721754065003,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Longest Consecutive Sequence,64.1,0.004720829463333571,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Longest Palindromic Substring,63.7,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Reverse Integer,63.7,0.003236617820255834,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Container With Most Water,63.4,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Majority Element,62.6,0.0066486982475450675,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Remove Duplicates from Sorted Array,62.2,0.006356305681717479,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Valid Parentheses,61.0,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Combine Two Tables,61.0,0.007987956471591194,https://leetcode.com/problems/combine-two-tables,Database
EASY,Merge Sorted Array,60.2,0.0055528006725092515,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Subarray Sum Equals K,59.3,0.004798003185147457,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Subarray,58.8,0.005373544916094741,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Roman to Integer,58.8,0.00670493570907236,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Number of Islands,57.8,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Valid Anagram,56.8,0.006853252750934069,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Merge Two Sorted Lists,56.8,0.00687474806884603,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Merge Intervals,56.3,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Reverse Linked List,55.1,0.00809419704868803,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Top K Frequent Elements,54.5,0.006713894888358451,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Koko Eating Bananas,54.5,0.005039596312916795,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Rotate Image,53.9,0.008057026987892065,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,4Sum,53.9,0.004145656171175596,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Group Anagrams,53.9,0.007312899263058849,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search in Rotated Sorted Array,53.2,0.0045462287719182275,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,LRU Cache,53.2,0.004786878945345611,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Spiral Matrix,52.6,0.00576270925930614,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Recyclable and Low Fat Products,52.6,0.00886323665284793,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Generate Parentheses,52.6,0.007906613058934668,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Create Hello World Function,51.9,0.008191596189026401,https://leetcode.com/problems/create-hello-world-function,
EASY,Sqrt(x),51.9,0.0042230778998847175,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
EASY,Merge Strings Alternately,51.9,0.008214734802222103,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,House Robber,51.2,0.005350272910647792,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Array,51.2,0.0045320104908535665,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Jump Game,50.4,0.004138483194849731,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Climbing Stairs,50.4,0.005428138437253181,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Move Zeroes,50.4,0.0064265438425801895,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Split Array Largest Sum,50.4,0.006119229640773564,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Intersection of Two Arrays,49.6,0.007820152771350486,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Letter Combinations of a Phone Number,49.6,0.006665995951741324,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,N-Queens,49.6,0.00762697634598655,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
EASY,Happy Number,49.6,0.006011541540506757,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
EASY,Contains Duplicate,49.6,0.006462906336887264,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Power of Two,49.6,0.005042139326860378,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
