Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,78.3,0.0049133031989980576,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,73.6,0.004736972853624943,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Longest Common Prefix,73.5,0.004818721754065003,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Trapping Rain Water,73.4,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Sorted Array,72.5,0.0055528006725092515,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Palindrome Number,72.5,0.006087452653515256,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Substring Without Repeating Characters,72.2,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,71.8,0.003969310706550047,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Merge Strings Alternately,71.4,0.008214734802222103,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,71.4,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Create Hello World Function,71.2,0.008191596189026401,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Longest Palindromic Substring,69.7,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Longest Consecutive Sequence,69.3,0.004720829463333571,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,68.0,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Recyclable and Low Fat Products,67.3,0.00886323665284793,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Majority Element,66.4,0.0066486982475450675,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Roman to Integer,65.9,0.00670493570907236,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Valid Parentheses,65.7,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Merge Intervals,65.3,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Remove Duplicates from Sorted Array,65.0,0.006356305681717479,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
