Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,78.6,0.0049133031989980576,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,73.9,0.004736972853624943,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,73.9,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Longest Common Prefix,73.2,0.004818721754065003,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Palindrome Number,73.2,0.006087452653515256,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Substring Without Repeating Characters,72.5,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,72.3,0.003969310706550047,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,71.7,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Sorted Array,71.4,0.0055528006725092515,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Consecutive Sequence,69.6,0.004720829463333571,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Merge Strings Alternately,69.5,0.008214734802222103,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,69.5,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Create Hello World Function,69.4,0.008191596189026401,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Container With Most Water,68.1,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Majority Element,66.6,0.0066486982475450675,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Valid Parentheses,66.4,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Recyclable and Low Fat Products,66.0,0.00886323665284793,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Reverse Integer,65.6,0.003236617820255834,https://leetcode.com/problems/reverse-integer,Math
EASY,Roman to Integer,65.6,0.00670493570907236,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Remove Duplicates from Sorted Array,65.5,0.006356305681717479,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Subarray Sum Equals K,65.5,0.004798003185147457,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,65.4,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Number of Islands,65.3,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,64.7,0.005373544916094741,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,63.5,0.005428138437253181,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,61.8,0.00687474806884603,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Generate Parentheses,61.4,0.007906613058934668,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Next Permutation,60.7,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Reverse Linked List,59.3,0.00809419704868803,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Spiral Matrix,59.0,0.00576270925930614,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Meeting Rooms II,58.8,0.005277676895072449,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Concatenation of Array,58.6,0.009007575233004196,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
EASY,Add Two Integers,58.5,0.00880908125701897,https://leetcode.com/problems/add-two-integers,Math
EASY,Move Zeroes,58.3,0.0064265438425801895,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Decode String,58.3,0.006309032512604954,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Koko Eating Bananas,58.2,0.005039596312916795,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Search in Rotated Sorted Array,57.9,0.0045462287719182275,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Remove Element,57.9,0.006237195372525857,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
