Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Daily Temperatures,100.0,0.006905688097164086,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Simplify Path,100.0,0.005122124583086863,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,House Robber,100.0,0.005350272910647792,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Two Sum,87.9,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,87.9,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,87.9,0.006374802235557344,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Accounts Merge,87.9,0.006188994327914749,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Subarray Sum Equals K,87.9,0.004798003185147457,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Repeated Substring Pattern,87.9,0.004865482308431229,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm"
MEDIUM,Longest Palindromic Substring,87.9,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
